League,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
2005-2006 NBA NBA Summer League Stats,Brian Boddicker,NJN,.917,.917,133.3,19.2,-,10.4,-,14.3,-,-,26.4,-7.7,1.8,154.0,121.3,32.7,6.0,47.8
2005-2006 NBA NBA Summer League Stats,John Allen,DET,.833,.800,160.0,6.9,14.2,10.5,-,-,2.9,-,18.5,-,2.4,174.0,90.7,83.3,9.9,42.2
2005-2006 NBA NBA Summer League Stats,Dwight Howard,ORL,.655,.638,127.8,19.9,17.2,18.4,6.9,17.1,1.6,4.8,31.8,-9.8,1.6,117.8,100.7,17.1,46.1,38.5
2005-2006 NBA NBA Summer League Stats,Ousmane Cisse,WAS,.850,.800,180.0,20.2,4.3,11.6,-,-,2.0,5.5,10.0,-,2.0,185.3,107.4,77.9,12.8,33.1
2005-2006 NBA NBA Summer League Stats,Pavel Milos,DET,.750,.750,100.0,-,-,-,-,20.0,-,-,47.8,-19.9,1.5,113.5,106.8,6.7,-,30.5
2005-2006 NBA NBA Summer League Stats,Olumide Oyedeji,CLE,.636,.618,123.7,16.3,25.5,21.0,4.8,6.5,0.4,2.6,17.8,-0.8,1.6,136.5,85.2,51.3,54.6,30.1
2005-2006 NBA NBA Summer League Stats,Ike Diogu,GSW,.653,.593,143.9,13.6,22.2,17.9,1.4,14.6,-,1.4,24.4,-7.3,1.6,123.7,104.9,18.8,52.0,29.4
2005-2006 NBA NBA Summer League Stats,Jason Maxiell,DET,.558,.528,211.9,6.7,10.7,8.7,4.8,5.6,2.0,5.3,24.6,-1.5,1.4,115.2,96.0,19.2,43.5,28.6
2005-2006 NBA NBA Summer League Stats,Mire Chatman,LAC,.902,1.000,150.0,-,11.7,5.5,16.7,34.0,4.2,-,22.1,-10.6,2.3,114.1,92.6,21.5,3.3,28.1
2005-2006 NBA NBA Summer League Stats,Ryan Gomes,BOS,.665,.596,154.0,8.4,24.3,16.6,4.4,14.1,0.4,-,20.1,-5.0,1.6,127.7,88.5,39.2,50.0,28.1
2005-2006 NBA NBA Summer League Stats,Chris Kaman,LAC,.599,.542,136.3,9.1,25.8,17.1,1.7,20.7,0.7,3.8,30.5,-13.1,1.4,102.3,93.4,8.9,49.8,27.8
2005-2006 NBA NBA Summer League Stats,Maciej Lampe,NOP,.514,.469,115.4,11.5,26.2,18.4,5.6,8.0,1.8,1.9,23.9,-2.6,1.2,110.1,97.4,12.6,45.6,27.4
2005-2006 NBA NBA Summer League Stats,David Lee,NYK,.648,.567,126.9,11.8,22.6,17.0,7.8,14.7,0.5,-,20.7,-4.0,2.0,127.2,100.9,26.3,39.6,27.2
2005-2006 NBA NBA Summer League Stats,Nate Robinson,NYK,.589,.516,171.4,4.4,12.0,8.1,14.0,17.5,2.6,-,28.6,-6.5,1.5,113.3,99.7,13.6,38.6,27.0
2005-2006 NBA NBA Summer League Stats,Tony Allen,BOS,.615,.566,180.9,4.5,11.8,8.2,7.2,18.8,3.4,1.0,25.4,-8.5,1.5,110.7,86.8,23.9,45.3,26.7
2005-2006 NBA NBA Summer League Stats,Travis Diener,ORL,.652,.589,184.9,5.4,18.9,12.4,28.4,12.9,1.4,-,15.2,7.1,1.6,136.1,99.9,36.2,49.4,26.2
2005-2006 NBA NBA Summer League Stats,Linas Kleiza,DEN,.617,.541,140.3,8.8,22.1,15.3,7.9,16.0,1.9,0.5,23.5,-5.4,1.5,116.9,98.8,18.2,50.9,26.0
2005-2006 NBA NBA Summer League Stats,Sebastian Telfair,POR,.532,.433,144.4,1.8,11.4,6.8,35.8,14.6,1.8,0.4,27.9,2.9,1.4,106.6,94.5,12.1,66.9,25.9
2005-2006 NBA NBA Summer League Stats,Luis Flores,DEN,.554,.486,154.5,3.6,13.3,8.3,6.5,13.5,2.8,0.5,28.7,-6.3,1.3,107.8,99.0,8.8,37.3,25.4
2005-2006 NBA NBA Summer League Stats,Alex Acker,DET,.602,.582,171.6,1.8,13.0,7.4,9.1,7.7,2.3,-,21.4,-0.7,1.3,118.6,98.1,20.5,40.6,25.3
2005-2006 NBA NBA Summer League Stats,Jamal Sampson,WAS,.619,.625,112.5,25.7,22.0,23.9,-,25.3,-,8.3,15.6,-8.9,1.4,111.4,104.6,6.8,14.3,25.0
2005-2006 NBA NBA Summer League Stats,J.R. Smith,NOP,.539,.506,139.3,2.0,7.6,4.6,18.5,13.6,2.6,1.3,29.4,-3.4,1.3,104.7,101.2,3.6,43.4,25.0
2005-2006 NBA NBA Summer League Stats,Henry Domercant,WAS,.563,.536,184.5,1.8,14.2,8.1,18.7,8.8,0.8,-,22.7,1.5,1.3,122.0,105.6,16.4,17.9,24.6
2005-2006 NBA NBA Summer League Stats,David Bailey,CHI,.581,.500,182.8,2.6,9.8,6.1,32.9,21.6,3.5,-,20.0,3.3,1.4,112.1,100.5,11.6,30.1,24.4
2005-2006 NBA NBA Summer League Stats,Gerald Fitch,WAS,.561,.510,160.5,5.0,13.3,9.2,13.0,15.6,1.7,0.6,25.3,-4.5,1.3,110.6,102.5,8.1,33.3,24.3
2005-2006 NBA NBA Summer League Stats,John Lucas,CLE,.560,.560,56.0,4.5,4.8,4.6,12.9,10.7,-,-,24.2,-0.6,1.1,116.8,98.6,18.1,12.3,24.1
2005-2006 NBA NBA Summer League Stats,Taylor Coppenrath,BOS,.669,.591,133.0,13.5,12.6,13.0,3.7,11.1,-,-,16.5,-2.7,2.0,136.3,93.7,42.6,26.4,23.9
2005-2006 NBA NBA Summer League Stats,D.J. Mbenga,DAL,.729,.750,125.0,10.0,22.8,16.8,4.1,20.9,0.5,10.2,12.1,-4.4,1.7,120.3,83.6,36.6,44.0,23.8
2005-2006 NBA NBA Summer League Stats,Tyus Edney,DEN,.724,.711,202.6,6.1,5.4,5.8,12.6,24.6,2.7,-,19.4,-5.9,1.6,117.0,101.0,16.0,37.1,23.6
2005-2006 NBA NBA Summer League Stats,Mike Harris,DAL,.627,.537,177.5,7.6,15.8,11.9,10.4,8.4,0.5,1.5,15.6,0.3,1.5,135.8,87.7,48.0,32.4,23.4
2005-2006 NBA NBA Summer League Stats,Sam Clancy,NJN,.547,.460,116.0,8.1,20.1,13.8,3.1,14.0,0.7,2.7,24.8,-6.6,1.5,106.0,108.3,-2.4,38.0,23.4
2005-2006 NBA NBA Summer League Stats,Marquis Daniels,DAL,.444,.379,112.9,10.0,9.8,9.9,22.3,12.6,3.7,0.6,30.3,-2.3,1.0,99.3,84.0,15.3,31.8,22.8
2005-2006 NBA NBA Summer League Stats,Channing Frye,NYK,.577,.432,139.6,12.2,18.2,15.1,4.5,17.6,0.4,1.9,24.7,-8.1,1.5,114.2,100.7,13.6,26.3,22.2
2005-2006 NBA NBA Summer League Stats,Bateer Mengke,CHI,.731,.731,119.2,8.1,11.0,9.6,4.4,13.3,1.2,-,14.9,-3.0,1.5,132.6,100.9,31.7,11.3,22.1
2005-2006 NBA NBA Summer League Stats,Blake Stepp,CLE,.606,.577,179.3,1.2,11.4,6.4,17.2,17.6,3.1,-,23.0,-3.0,1.3,113.2,87.0,26.2,25.1,21.9
2005-2006 NBA NBA Summer League Stats,Patrick Okafor,SAC,.781,.857,119.0,9.2,8.9,9.1,7.3,26.5,1.9,2.8,19.0,-8.5,1.9,114.7,95.6,19.0,5.1,21.9
2005-2006 NBA NBA Summer League Stats,Ime Udoka,CLE,.632,.604,195.8,6.3,13.3,9.9,9.2,19.3,3.3,-,17.3,-3.8,1.5,114.5,85.2,29.3,28.8,21.7
2005-2006 NBA NBA Summer League Stats,Ron Slay,PHX,.654,.515,156.9,3.6,18.2,10.8,8.1,20.7,1.8,0.7,23.7,-8.0,1.8,111.3,97.9,13.4,21.6,21.7
2005-2006 NBA NBA Summer League Stats,Eddie Basden,CHI,.537,.471,144.2,9.7,11.1,10.4,6.9,16.6,2.8,0.5,23.0,-6.0,1.3,105.6,101.2,4.4,38.0,21.7
2005-2006 NBA NBA Summer League Stats,Boniface Ndong,DEN,.602,.541,139.8,4.8,23.9,14.0,11.2,18.8,1.4,2.1,21.0,-4.6,1.4,110.1,98.2,11.9,29.8,21.5
2005-2006 NBA NBA Summer League Stats,Roger Powell,DAL,.733,.833,222.2,-,9.9,5.3,9.4,-,-,1.7,12.4,2.8,2.1,151.4,93.1,58.3,11.4,21.4
2005-2006 NBA NBA Summer League Stats,Donell Taylor,WAS,.645,.596,164.9,5.8,5.0,5.4,3.5,21.4,2.5,0.9,20.1,-8.3,1.6,111.2,104.9,6.3,31.9,21.2
2005-2006 NBA NBA Summer League Stats,Matt Freije,CLE,.532,.500,138.5,4.8,10.8,7.9,7.5,5.6,1.4,1.0,21.8,-,1.2,118.7,89.0,29.7,16.9,21.1
2005-2006 NBA NBA Summer League Stats,Jeff Varem,CLE,.636,.619,123.4,14.3,18.3,16.3,5.1,15.8,1.5,0.8,14.2,-3.0,1.6,123.3,86.4,36.9,32.4,21.1
2005-2006 NBA NBA Summer League Stats,Marquin Chandler,SAC,.500,.500,95.5,-,34.6,18.0,6.9,-,-,-,19.1,2.5,1.0,119.2,89.4,29.9,6.8,21.0
2005-2006 NBA NBA Summer League Stats,Elbert Fuqua,NYK,.500,.500,140.0,35.1,20.0,27.4,-,16.7,-,8.1,15.0,-5.6,1.0,120.3,97.8,22.5,6.5,21.0
2005-2006 NBA NBA Summer League Stats,Jerry Holman,DET,.633,.600,126.7,14.9,6.8,10.7,-,13.7,-,-,19.8,-5.7,1.6,120.1,98.5,21.6,3.4,20.7
2005-2006 NBA NBA Summer League Stats,Kevin Martin,SAC,.580,.507,172.7,2.2,14.2,8.3,8.5,21.6,1.5,0.9,28.1,-10.1,1.4,101.2,97.1,4.1,32.1,20.5
2005-2006 NBA NBA Summer League Stats,Leandro Barbosa,PHX,.535,.427,149.3,2.0,7.2,4.5,12.6,12.9,0.8,-,28.7,-4.7,1.3,103.2,97.1,6.1,17.0,20.2
2005-2006 NBA NBA Summer League Stats,Josh Powell,DAL,.573,.455,117.7,20.9,20.6,20.8,8.2,21.0,-,0.5,19.1,-6.2,1.7,110.9,91.0,19.9,42.8,20.1
2005-2006 NBA NBA Summer League Stats,Drago Pasalic,CHI,.519,.523,121.1,9.4,19.8,14.4,2.2,9.8,0.6,0.8,24.8,-4.8,1.1,107.5,102.2,5.3,18.6,20.0
2005-2006 NBA NBA Summer League Stats,Amir Johnson,DET,.703,.712,227.6,4.0,17.4,10.6,4.2,18.3,1.1,1.6,18.3,-5.7,1.7,117.1,97.9,19.1,18.3,19.8
2005-2006 NBA NBA Summer League Stats,Kasib Powell,CHI,.506,.500,100.0,4.0,9.6,6.7,14.5,8.4,3.1,1.8,17.3,2.2,1.1,111.7,100.3,11.4,28.8,19.8
2005-2006 NBA NBA Summer League Stats,Julius Hodge,DEN,.504,.453,124.8,6.7,17.6,12.0,19.4,15.9,1.3,1.2,21.0,0.2,1.3,104.7,100.7,4.1,55.6,19.7
2005-2006 NBA NBA Summer League Stats,Hiram Fuller,WAS,.666,.600,135.0,17.3,20.4,18.9,2.5,27.8,0.8,2.1,14.9,-8.2,1.8,111.9,102.1,9.7,40.8,19.5
2005-2006 NBA NBA Summer League Stats,Roger Mason,ORL,.524,.427,161.3,-,7.0,3.6,10.4,9.5,2.4,-,21.8,-0.5,1.3,109.0,102.9,6.1,24.1,19.5
2005-2006 NBA NBA Summer League Stats,Lucas Tischer,PHX,.649,.682,114.3,15.5,22.9,19.1,6.5,24.5,-,1.0,21.8,-9.6,1.6,104.5,100.4,4.1,16.9,19.2
2005-2006 NBA NBA Summer League Stats,Lynn Greer,PHX,.574,.467,190.5,3.1,9.5,6.3,33.6,26.2,1.8,-,26.5,-4.9,1.4,97.8,100.8,-3.0,17.9,19.2
2005-2006 NBA NBA Summer League Stats,Chris Taft,GSW,.560,.529,119.6,21.9,18.6,20.4,-,28.9,1.1,-,24.7,-15.8,1.3,91.0,103.4,-12.4,12.8,19.1
2005-2006 NBA NBA Summer League Stats,Darius Rice,DAL,.561,.485,169.4,5.6,13.5,9.8,15.9,15.8,0.6,0.8,21.2,-2.5,1.3,113.6,92.5,21.1,21.8,19.0
2005-2006 NBA NBA Summer League Stats,Travis Outlaw,POR,.478,.432,123.1,1.1,17.8,9.8,8.6,12.0,1.4,2.0,27.4,-4.3,1.2,91.7,91.8,-0.1,49.0,18.9
2005-2006 NBA NBA Summer League Stats,Trevor Ariza,NYK,.567,.500,119.6,5.8,13.1,9.3,14.7,16.9,1.7,-,15.7,-0.2,1.5,114.8,101.3,13.5,37.6,18.7
2005-2006 NBA NBA Summer League Stats,Erik Daniels,SAC,.619,.616,161.0,3.8,6.2,5.0,9.7,11.7,1.2,-,17.6,-1.0,1.3,122.0,101.4,20.6,22.6,18.7
2005-2006 NBA NBA Summer League Stats,Francisco Garcia,SAC,.456,.383,147.4,5.5,10.3,8.0,13.6,12.8,2.6,3.3,22.4,-0.8,1.0,100.8,95.3,5.5,35.8,18.6
2005-2006 NBA NBA Summer League Stats,Will McDonald,BOS,.671,.667,126.7,23.5,10.6,16.7,-,26.8,-,-,16.6,-10.0,1.8,112.2,86.6,25.6,6.4,18.6
2005-2006 NBA NBA Summer League Stats,David Graves,GSW,.840,.667,166.7,-,7.5,3.8,-,29.6,-,-,16.3,-11.1,2.7,126.1,119.0,7.1,2.0,18.6
2005-2006 NBA NBA Summer League Stats,Ray Weathers,SAC,.751,.667,166.7,-,11.0,5.2,-,12.0,-,-,15.6,-3.9,1.8,136.8,103.7,33.0,2.9,18.5
2005-2006 NBA NBA Summer League Stats,Alpha Bangura,LAC,.597,.667,95.2,11.2,-,5.9,5.8,21.0,2.9,-,23.5,-9.0,1.5,99.4,95.0,4.3,4.4,18.5
2005-2006 NBA NBA Summer League Stats,Kelenna Azubuike,CLE,.554,.566,188.6,4.5,3.3,3.9,12.9,11.0,0.5,0.7,19.5,-0.3,1.2,112.7,93.9,18.8,21.0,18.4
2005-2006 NBA NBA Summer League Stats,Raed Farid Elhamali,WAS,.520,.429,108.2,3.2,12.5,7.9,5.1,18.6,1.4,-,28.3,-9.9,1.5,95.9,105.2,-9.2,9.8,18.3
2005-2006 NBA NBA Summer League Stats,Jerome Beasley,ORL,.514,.500,102.9,7.3,17.9,12.8,2.0,14.4,0.5,0.8,27.6,-8.0,1.2,95.8,101.5,-5.7,16.6,18.1
2005-2006 NBA NBA Summer League Stats,Lance Allred,LAC,.570,.429,112.9,13.4,11.0,12.3,-,14.9,2.9,-,17.0,-5.4,1.9,113.4,94.6,18.8,6.3,18.0
2005-2006 NBA NBA Summer League Stats,James Thomas,CLE,.584,.500,113.6,15.7,28.6,22.3,8.9,18.9,-,1.1,10.4,-0.5,1.9,122.1,86.0,36.1,24.6,17.8
2005-2006 NBA NBA Summer League Stats,Awvee Storey,NJN,.727,.667,166.7,9.9,14.4,12.2,8.2,22.5,-,-,15.6,-4.9,1.7,121.8,110.5,11.3,5.0,17.5
2005-2006 NBA NBA Summer League Stats,Chris Paul,NOP,.447,.413,130.3,1.6,17.5,9.0,27.3,14.6,2.7,-,19.5,4.0,1.0,97.3,100.5,-3.3,37.1,17.5
2005-2006 NBA NBA Summer League Stats,Jonathan Moore,LAC,.361,.316,106.6,9.7,11.2,10.4,-,4.6,4.5,-,43.5,-4.2,0.8,80.4,92.6,-12.2,0.8,17.4
2005-2006 NBA NBA Summer League Stats,David West,NOP,.545,.474,120.1,11.4,17.9,14.4,6.5,17.3,2.0,0.9,16.2,-3.7,1.4,107.7,100.5,7.3,18.4,17.3
2005-2006 NBA NBA Summer League Stats,Ersin Dagli,LAC,.541,.522,105.5,9.6,24.9,16.9,4.0,9.2,0.5,0.7,14.5,-1.6,1.4,113.1,95.0,18.1,24.4,17.0
2005-2006 NBA NBA Summer League Stats,Justin Reed,BOS,.540,.442,173.1,7.9,9.6,8.8,8.6,17.8,0.7,1.6,21.0,-5.2,1.3,107.1,92.8,14.3,25.9,17.0
2005-2006 NBA NBA Summer League Stats,David Hawkins,WAS,.464,.444,118.8,2.3,4.5,3.4,5.8,9.7,2.5,-,26.1,-3.8,1.2,97.4,105.7,-8.2,9.4,16.9
2005-2006 NBA NBA Summer League Stats,Ebi Ere,POR,.566,.539,152.3,3.1,5.8,4.5,1.8,14.4,1.8,1.3,19.6,-5.4,1.2,101.0,96.3,4.7,20.0,16.9
2005-2006 NBA NBA Summer League Stats,Anthony Lever-Pedroza,SAC,.504,.467,146.7,7.7,14.5,11.2,7.4,20.1,5.6,1.2,14.1,-3.1,1.1,98.9,88.0,10.9,14.5,16.5
2005-2006 NBA NBA Summer League Stats,Ruben Douglas,NYK,.525,.500,142.8,5.4,7.6,6.4,5.3,7.5,1.5,-,17.1,-1.0,1.1,117.4,103.1,14.3,10.8,16.5
2005-2006 NBA NBA Summer League Stats,Steven Barber,NYK,.482,.447,142.1,6.6,-,3.1,9.0,12.6,1.3,-,26.7,-4.1,1.1,105.5,101.8,3.7,2.8,16.4
2005-2006 NBA NBA Summer League Stats,Jackie Butler,NYK,.606,.591,119.1,10.2,24.4,17.1,9.1,23.3,-,2.4,15.7,-4.8,1.5,108.5,99.6,8.9,22.3,16.4
2005-2006 NBA NBA Summer League Stats,Odartey Blankson,CLE,.333,.333,33.3,13.0,13.0,13.0,37.4,-,-,-,20.1,10.1,0.7,94.0,79.4,14.7,2.0,16.2
2005-2006 NBA NBA Summer League Stats,Quinton Ross,LAC,.512,.412,128.7,3.8,14.6,8.9,4.3,12.8,1.8,-,18.7,-3.9,1.2,100.8,96.1,4.7,9.0,16.2
2005-2006 NBA NBA Summer League Stats,Chris Garnett,NOP,.589,.400,123.3,14.7,22.0,18.2,-,28.2,-,3.2,21.7,-13.6,1.8,98.1,103.3,-5.3,4.0,16.0
2005-2006 NBA NBA Summer League Stats,Ruben Boumtje-Boumtje,ORL,.644,.563,156.3,10.4,15.0,12.8,7.7,13.9,0.6,1.0,11.6,-0.4,1.5,129.8,102.2,27.6,17.0,15.8
2005-2006 NBA NBA Summer League Stats,Guillaume Yango,SAC,.370,.357,85.7,19.6,24.1,22.0,8.7,6.3,-,-,19.3,0.9,0.8,100.3,94.5,5.8,10.3,15.8
2005-2006 NBA NBA Summer League Stats,Brent Wright,NYK,.600,.538,118.1,1.6,5.0,3.2,2.1,-,3.3,-,10.8,0.8,1.8,139.6,100.0,39.6,10.8,15.7
2005-2006 NBA NBA Summer League Stats,Brandon Kurtz,PHX,.588,.389,128.4,9.8,26.8,18.2,4.9,25.5,0.6,1.0,20.0,-9.1,1.7,99.8,98.5,1.4,15.9,15.6
2005-2006 NBA NBA Summer League Stats,Mario Austin,CHI,.445,.378,114.8,7.2,12.7,9.9,9.9,8.6,1.0,1.5,20.3,-,1.0,103.7,103.6,0.2,16.9,15.5
2005-2006 NBA NBA Summer League Stats,Melvin Sanders,NJN,.471,.471,47.1,2.9,3.7,3.3,14.2,10.5,-,2.2,23.5,-1.9,0.9,98.3,114.8,-16.5,2.5,15.1
2005-2006 NBA NBA Summer League Stats,Isiah Victor,ORL,.762,.400,132.9,5.9,14.3,10.5,5.9,30.9,-,1.7,15.1,-7.4,3.4,118.8,108.8,10.0,7.5,14.9
2005-2006 NBA NBA Summer League Stats,Aaron Miles,NYK,.571,.571,107.1,3.8,21.6,11.2,26.8,20.2,-,-,14.2,2.2,1.3,108.0,111.2,-3.2,7.0,14.9
2005-2006 NBA NBA Summer League Stats,Monta Ellis,GSW,.490,.457,141.1,2.3,9.2,5.7,14.4,18.3,1.5,-,26.2,-5.4,1.1,94.7,106.8,-12.1,20.5,14.8
2005-2006 NBA NBA Summer League Stats,Jared Reiner,CHI,.569,.444,144.4,11.8,19.9,15.7,-,24.2,-,1.4,24.7,-13.6,1.4,99.0,102.8,-3.8,5.6,14.8
2005-2006 NBA NBA Summer League Stats,Stephen Graham,PHX,.545,.480,160.3,2.5,17.4,9.9,8.6,17.2,0.7,1.0,20.5,-4.9,1.3,98.3,100.7,-2.3,22.8,14.8
2005-2006 NBA NBA Summer League Stats,Ira Clark,POR,.666,.667,125.0,8.1,13.1,10.7,5.0,25.7,-,-,17.0,-7.5,1.8,105.8,98.1,7.8,11.5,14.7
2005-2006 NBA NBA Summer League Stats,Zarko Cabarkapa,GSW,.534,.419,126.1,2.9,14.3,8.4,13.0,24.8,0.6,-,27.9,-11.4,1.4,91.7,104.9,-13.3,7.4,14.6
2005-2006 NBA NBA Summer League Stats,Andris Biedrins,GSW,.510,.517,94.6,13.9,22.1,18.0,3.2,20.7,0.5,3.9,19.4,-7.6,1.3,94.6,102.3,-7.7,20.6,14.6
2005-2006 NBA NBA Summer League Stats,Kenny Satterfield,CHI,.442,.348,109.8,3.6,8.9,6.2,24.1,12.4,1.6,-,14.0,6.6,1.1,108.0,104.7,3.3,21.0,14.5
2005-2006 NBA NBA Summer League Stats,Ugonna Onyekwe,CHI,.546,.500,120.0,8.3,8.8,8.5,4.7,12.3,1.0,1.4,13.9,-2.0,1.3,113.9,105.0,8.9,16.5,14.5
2005-2006 NBA NBA Summer League Stats,Jameer Nelson,ORL,.481,.444,104.4,4.3,10.0,7.4,17.4,23.4,2.3,0.9,27.5,-7.5,1.1,86.0,104.3,-18.3,11.4,14.4
2005-2006 NBA NBA Summer League Stats,Jobey Thomas,LAC,.689,.667,225.0,-,2.2,1.1,-,20.9,1.7,-,18.2,-8.2,1.4,110.7,98.9,11.8,4.0,14.3
2005-2006 NBA NBA Summer League Stats,Antoine Wright,NJN,.449,.387,129.4,6.1,3.8,5.0,11.3,14.9,1.2,0.5,28.1,-5.7,1.1,90.0,113.3,-23.3,13.6,14.3
2005-2006 NBA NBA Summer League Stats,Delonte West,BOS,.534,.405,148.8,5.6,10.8,8.2,11.6,22.8,3.1,-,17.7,-4.5,1.4,99.8,82.1,17.7,11.5,14.2
2005-2006 NBA NBA Summer League Stats,Derrick Zimmerman,NJN,.585,.600,102.9,5.1,13.0,8.8,13.6,30.2,2.9,1.7,16.5,-6.5,1.4,90.8,106.3,-15.5,14.6,14.0
2005-2006 NBA NBA Summer League Stats,Troy Bell,NOP,.398,.242,125.8,8.3,2.7,5.7,16.3,7.2,1.7,0.8,19.9,3.2,1.0,100.8,104.3,-3.6,13.0,14.0
2005-2006 NBA NBA Summer League Stats,Marcin Gortat,ORL,.620,.571,157.1,6.6,12.2,9.5,2.8,11.5,0.9,1.3,13.6,-2.3,1.4,120.4,104.9,15.5,7.4,14.0
2005-2006 NBA NBA Summer League Stats,Ray Young,GSW,.477,.431,216.4,1.3,9.3,5.3,10.8,11.0,3.2,-,17.0,-,1.1,101.1,101.5,-0.4,13.0,13.8
2005-2006 NBA NBA Summer League Stats,Thomas Mobley,DET,.742,.643,257.1,7.5,15.3,11.4,9.8,25.5,-,-,10.7,-1.9,1.9,124.8,102.0,22.8,9.8,13.7
2005-2006 NBA NBA Summer League Stats,Luke Jackson,CLE,.428,.359,144.6,3.1,16.2,9.8,21.0,15.7,0.8,-,22.5,0.5,1.0,96.1,89.3,6.8,35.8,13.5
2005-2006 NBA NBA Summer League Stats,DeSean Hadley,NOP,.666,.500,190.0,-,10.5,4.8,7.1,12.9,-,-,14.2,-1.4,1.8,130.1,108.6,21.5,1.8,13.4
2005-2006 NBA NBA Summer League Stats,Chuck Eidson,LAC,.451,.429,92.9,-,11.3,5.3,13.1,15.3,2.2,-,19.3,-2.1,1.1,86.1,95.5,-9.3,6.3,13.2
2005-2006 NBA NBA Summer League Stats,Adam Hall,CHI,.490,.457,113.5,8.5,11.8,10.0,7.6,21.3,2.3,-,24.1,-8.7,1.3,89.1,101.6,-12.6,7.1,13.1
2005-2006 NBA NBA Summer League Stats,Eddie Robinson,NOP,.500,.500,50.0,3.5,9.2,6.3,8.9,5.3,1.7,-,13.2,1.5,1.0,109.2,100.5,8.7,9.8,13.1
2005-2006 NBA NBA Summer League Stats,Jawad Williams,GSW,.485,.464,102.0,8.3,7.0,7.6,1.9,11.1,1.1,-,17.3,-3.5,1.1,101.7,108.3,-6.7,10.4,12.9
2005-2006 NBA NBA Summer League Stats,Robert Archibald,SAC,.532,.545,96.2,16.4,15.4,15.9,4.6,22.7,-,2.8,15.2,-5.6,1.3,100.5,98.4,2.1,18.5,12.9
2005-2006 NBA NBA Summer League Stats,Jackson Vroman,NOP,.617,.538,126.6,4.9,16.7,10.5,7.5,21.9,1.8,2.5,11.2,-2.6,1.7,109.8,98.9,10.9,14.1,12.6
2005-2006 NBA NBA Summer League Stats,Billy Keys,POR,.388,.333,108.3,7.2,-,3.5,26.7,15.2,3.1,-,18.4,3.3,0.9,88.1,95.6,-7.6,7.3,12.6
2005-2006 NBA NBA Summer League Stats,Felipe Lopez,DAL,.487,.372,118.0,5.5,16.4,11.4,3.6,19.3,0.9,-,25.4,-9.9,1.2,92.2,91.1,1.1,11.3,12.6
2005-2006 NBA NBA Summer League Stats,Damone Brown,WAS,.320,.154,115.4,10.8,7.4,9.1,-,6.0,3.3,4.4,22.8,-3.1,0.8,83.9,100.2,-16.3,3.5,12.4
2005-2006 NBA NBA Summer League Stats,Marque Perry,GSW,.637,.600,178.7,2.3,4.6,3.4,12.5,26.9,0.9,-,16.3,-4.9,1.5,103.9,109.3,-5.4,10.6,12.3
2005-2006 NBA NBA Summer League Stats,Gee Gervin,DAL,.512,.406,175.0,-,4.3,2.3,22.9,26.4,2.0,-,22.3,-5.6,1.3,89.7,92.2,-2.6,5.5,12.0
2005-2006 NBA NBA Summer League Stats,Corsley Edwards,WAS,.373,.333,95.8,8.7,24.2,16.5,6.5,8.2,0.6,-,19.4,-1.2,0.8,90.2,102.2,-12.1,13.3,11.8
2005-2006 NBA NBA Summer League Stats,Andray Blatche,WAS,.457,.474,98.8,5.8,19.0,12.4,6.9,22.4,2.0,1.6,19.0,-7.0,1.0,84.2,100.5,-16.3,28.3,11.7
2005-2006 NBA NBA Summer League Stats,Darko Milicic,DET,.430,.367,109.0,5.2,20.0,12.6,7.2,14.9,-,3.7,20.8,-3.9,1.0,85.5,98.3,-12.8,19.8,11.4
2005-2006 NBA NBA Summer League Stats,Daniel Ewing,LAC,.476,.400,152.1,3.4,8.4,5.8,10.6,20.7,2.9,-,17.1,-3.9,1.1,88.7,95.4,-6.7,14.5,11.3
2005-2006 NBA NBA Summer League Stats,Arthur Johnson,CHI,.371,.313,117.0,12.9,11.9,12.4,2.2,14.6,2.8,3.9,24.0,-7.1,0.8,83.0,98.7,-15.7,7.6,11.3
2005-2006 NBA NBA Summer League Stats,John Gilchrist,CLE,.406,.351,107.9,1.6,15.7,9.0,23.4,22.3,3.2,0.9,30.3,-6.6,0.9,80.3,81.2,-1.0,7.9,11.0
2005-2006 NBA NBA Summer League Stats,Ontario Lett,LAC,.590,.500,114.7,6.4,12.4,9.3,2.4,13.3,-,-,13.7,-3.0,1.9,115.4,99.9,15.5,3.9,10.8
2005-2006 NBA NBA Summer League Stats,Cheyne Gadson,NYK,.538,.571,57.1,4.4,11.7,8.3,11.0,28.7,-,-,15.9,-5.6,1.1,91.0,100.0,-9.0,4.1,10.7
2005-2006 NBA NBA Summer League Stats,Martell Webster,POR,.490,.433,151.3,1.7,12.2,7.2,2.7,15.3,0.7,-,20.3,-5.6,1.1,89.5,96.4,-6.9,19.0,10.7
2005-2006 NBA NBA Summer League Stats,Desmon Farmer,DEN,.574,.500,186.7,-,24.1,11.7,15.4,29.1,-,-,13.0,-1.6,1.4,97.9,102.6,-4.6,9.1,10.7
2005-2006 NBA NBA Summer League Stats,Al Jefferson,BOS,.440,.444,80.2,10.7,19.9,15.5,3.7,17.7,0.4,2.4,18.7,-6.1,1.0,88.5,88.7,-0.2,16.5,10.6
