League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2009-2010 NBA NBA Summer League Stats,Kareem Rush,DEN,2,37.0,6,3,11,.273,0,5,.000,0,0,.000,1,2,3,2,0,0,3,4
2009-2010 NBA NBA Summer League Stats,Rod Benson,HOU,3,17.8,5,2,5,.400,0,0,.000,1,3,.333,1,7,8,0,0,0,0,2
2009-2010 NBA NBA Summer League Stats,Geary Claxton,PHX,4,27.5,4,1,6,.167,0,1,.000,2,5,.400,5,4,9,1,0,1,2,3
2009-2010 NBA NBA Summer League Stats,Dominique Coleman,LAL,3,17.3,4,2,4,.500,0,0,.000,0,0,.000,1,1,2,3,0,1,2,3
2009-2010 NBA NBA Summer League Stats,Deji Akindele,POR,3,17.0,4,2,3,.667,0,0,.000,0,0,.000,2,3,5,0,0,0,2,4
2009-2010 NBA NBA Summer League Stats,Saer Sene,NYK,4,35.1,3,1,6,.167,0,0,.000,1,2,.500,3,2,5,0,1,8,2,3
2009-2010 NBA NBA Summer League Stats,Daniel Ewing,MEM,1,8.7,3,1,1,1.000,0,0,.000,1,2,.500,0,1,1,2,0,0,1,0
2009-2010 NBA NBA Summer League Stats,Longar Longar,MEM,2,7.1,3,1,2,.500,0,0,.000,1,2,.500,1,3,4,0,0,0,1,0
2009-2010 NBA NBA Summer League Stats,Juan Palacios,MIL,5,46.4,3,1,10,.100,0,3,.000,1,2,.500,2,1,3,3,0,2,2,3
2009-2010 NBA NBA Summer League Stats,Alfred Aboya,DAL,5,40.4,3,1,8,.125,0,0,.000,1,2,.500,4,1,5,0,2,0,7,9
2009-2010 NBA NBA Summer League Stats,Nick Lewis,CHI,2,16.9,2,1,5,.200,0,1,.000,0,0,.000,2,4,6,1,0,2,1,2
2009-2010 NBA NBA Summer League Stats,Dwayne Jones,DET,2,9.4,2,1,1,1.000,0,0,.000,0,0,.000,1,2,3,1,1,0,0,4
2009-2010 NBA NBA Summer League Stats,Doug Thomas,OKC,1,13.0,2,1,3,.333,0,0,.000,0,0,.000,2,2,4,0,0,1,0,3
2009-2010 NBA NBA Summer League Stats,Ryan Toolson,SAC,4,25.8,2,1,6,.167,0,2,.000,0,0,.000,1,1,2,3,1,0,1,2
2009-2010 NBA NBA Summer League Stats,Squeaky Johnson,SAS,2,11.0,2,1,1,1.000,0,0,.000,0,0,.000,0,0,0,2,0,0,2,0
2009-2010 NBA NBA Summer League Stats,Joe Krabbenhoft,POR,2,10.0,2,1,1,1.000,0,0,.000,0,0,.000,0,1,1,0,1,0,0,4
2009-2010 NBA NBA Summer League Stats,Marcus Dove,OKC,3,19.5,2,1,3,.333,0,0,.000,0,0,.000,0,1,1,1,2,2,2,6
2009-2010 NBA NBA Summer League Stats,Bryan Mullins,CHI,2,15.3,2,0,0,.000,0,0,.000,2,2,1.000,0,0,0,3,0,0,1,6
2009-2010 NBA NBA Summer League Stats,Yaroslav Korolev,NYK,2,25.9,2,1,8,.125,0,3,.000,0,0,.000,0,6,6,0,0,3,4,2
2009-2010 NBA NBA Summer League Stats,Marcelus Kemp,LAC,2,14.7,2,1,5,.200,0,0,.000,0,0,.000,1,1,2,1,0,0,1,3
2009-2010 NBA NBA Summer League Stats,Nathan Jawai,DAL,1,14.2,1,0,5,.000,0,0,.000,1,2,.500,1,3,4,0,0,0,2,6
2009-2010 NBA NBA Summer League Stats,Mahmoud Abdul-Awwel,PHX,1,3.5,0,0,0,.000,0,0,.000,0,0,.000,1,1,2,1,0,0,0,1
2009-2010 NBA NBA Summer League Stats,Jared Jordan,GSW,2,13.9,0,0,3,.000,0,0,.000,0,0,.000,0,1,1,2,2,0,1,0
2009-2010 NBA NBA Summer League Stats,Donald Rashaad Singleton,NYK,1,3.8,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,1,0,0,0
2009-2010 NBA NBA Summer League Stats,Victor Stowes,SAC,1,2.1,0,0,1,.000,0,0,.000,0,0,.000,0,0,0,1,0,0,0,0
2009-2010 NBA NBA Summer League Stats,Doron Perkins,CLE,1,1.9,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0
2009-2010 NBA NBA Summer League Stats,Wink Adams,NYK,1,7.0,0,0,1,.000,0,0,.000,0,0,.000,0,2,2,1,0,0,1,2
2009-2010 NBA NBA Summer League Stats,Lee Cummard,PHX,1,2.8,0,0,1,.000,0,0,.000,0,0,.000,0,1,1,0,0,0,0,1
2009-2010 NBA NBA Summer League Stats,Marquinhos Vinicius,SAS,1,0.9,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,1
2009-2010 NBA NBA Summer League Stats,Takuya Kawamura,PHX,1,4.4,0,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,1
2009-2010 NBA NBA Summer League Stats,Richard Roby,OKC,2,12.4,0,0,4,.000,0,1,.000,0,0,.000,0,1,1,0,2,0,1,2
2009-2010 NBA NBA Summer League Stats,Moussa Seck,DAL,1,3.5,0,0,2,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,2
2009-2010 NBA NBA Summer League Stats,Tony Durant,OKC,2,10.3,0,0,5,.000,0,1,.000,0,0,.000,0,3,3,0,0,0,1,3
2010-2011 NBA NBA Summer League Stats,Reggie Williams,GSW,5,156.5,113,37,90,.411,11,26,.423,28,34,.824,4,18,22,14,2,1,8,12
2010-2011 NBA NBA Summer League Stats,Sam Young,MEM,5,137.7,97,33,61,.541,5,13,.385,26,36,.722,6,13,19,7,6,4,13,10
2010-2011 NBA NBA Summer League Stats,John Wall,WAS,4,129.3,94,26,69,.377,1,8,.125,41,47,.872,5,11,16,31,10,2,21,11
2010-2011 NBA NBA Summer League Stats,Jermaine Taylor,HOU,5,146.7,92,33,70,.471,2,7,.286,24,33,.727,5,19,24,10,2,0,20,15
2010-2011 NBA NBA Summer League Stats,DeMarcus Cousins,SAC,6,178.4,87,31,93,.333,0,1,.000,25,34,.735,17,42,59,11,9,7,29,29
2010-2011 NBA NBA Summer League Stats,DeMar DeRozan,TOR,4,105.4,84,29,50,.580,2,5,.400,24,38,.632,5,13,18,6,2,1,4,10
2010-2011 NBA NBA Summer League Stats,Dominique Jones,DAL,5,160.6,83,25,59,.424,0,8,.000,33,44,.750,4,15,19,17,4,3,12,17
2010-2011 NBA NBA Summer League Stats,Ty Lawson,DEN,5,126.5,82,27,46,.587,6,14,.429,22,26,.846,0,12,12,25,8,0,10,6
2010-2011 NBA NBA Summer League Stats,Jordan Crawford,ATL,5,155.3,81,25,60,.417,7,23,.304,24,28,.857,7,10,17,13,9,0,17,14
2010-2011 NBA NBA Summer League Stats,Gary Neal,SAS,5,130.6,80,30,60,.500,17,34,.500,3,4,.750,3,10,13,8,7,0,8,7
2010-2011 NBA NBA Summer League Stats,Wayne Ellington,MIN,5,162.7,79,31,77,.403,4,18,.222,13,16,.813,5,18,23,11,6,0,14,9
2010-2011 NBA NBA Summer League Stats,DaJuan Summers,DET,5,133.9,79,24,58,.414,4,13,.308,27,34,.794,8,13,21,2,5,1,14,11
2010-2011 NBA NBA Summer League Stats,Landry Fields,NYK,5,129.6,78,29,55,.527,3,13,.231,17,23,.739,13,11,24,6,8,3,9,13
2010-2011 NBA NBA Summer League Stats,JaVale McGee,WAS,4,115.7,78,33,48,.688,0,0,.000,12,22,.545,17,20,37,0,2,3,12,18
2010-2011 NBA NBA Summer League Stats,Jeff Teague,ATL,5,159.9,78,24,46,.522,1,5,.200,29,33,.879,3,7,10,21,5,3,22,16
2010-2011 NBA NBA Summer League Stats,Derrick Caracter,LAL,5,167.2,77,32,54,.593,0,0,.000,13,20,.650,18,25,43,9,2,7,27,36
2010-2011 NBA NBA Summer League Stats,J.J. Hickson,CLE,4,125.2,77,29,50,.580,0,0,.000,19,31,.613,4,21,25,4,2,2,13,17
2010-2011 NBA NBA Summer League Stats,Gani Lawal,PHX,5,137.7,77,29,59,.492,0,2,.000,19,41,.463,13,24,37,1,3,5,15,27
2010-2011 NBA NBA Summer League Stats,Quincy Pondexter,NOP,5,162.3,76,22,54,.407,3,9,.333,29,37,.784,8,12,20,10,7,1,18,26
2010-2011 NBA NBA Summer League Stats,Chase Budinger,HOU,5,149.5,75,27,64,.422,7,21,.333,14,19,.737,4,16,20,9,5,0,11,16
2010-2011 NBA NBA Summer League Stats,Devin Ebanks,LAL,5,165.0,75,28,66,.424,5,11,.455,14,19,.737,6,12,18,7,7,2,15,13
2010-2011 NBA NBA Summer League Stats,Al-Farouq Aminu,LAC,5,134.3,74,17,58,.293,8,27,.296,32,43,.744,8,19,27,2,6,3,15,22
2010-2011 NBA NBA Summer League Stats,Earl Clark,PHX,5,140.2,74,26,70,.371,0,1,.000,22,31,.710,8,17,25,7,2,4,17,14
2010-2011 NBA NBA Summer League Stats,Greg Monroe,DET,5,152.8,73,25,48,.521,0,0,.000,23,38,.605,15,25,40,6,9,2,19,27
2010-2011 NBA NBA Summer League Stats,Pooh Jeter,CLE,5,155.5,72,27,56,.482,2,8,.250,16,20,.800,1,9,10,27,5,0,12,11
2010-2011 NBA NBA Summer League Stats,Mark Tyndale,SEL,5,108.1,72,19,39,.487,1,9,.111,33,46,.717,3,9,12,4,6,2,12,15
2010-2011 NBA NBA Summer League Stats,Luke Babbitt,POR,5,150.4,71,24,53,.453,6,19,.316,17,21,.810,6,13,19,5,9,1,13,10
2010-2011 NBA NBA Summer League Stats,Patty Mills,POR,5,148.6,71,28,67,.418,11,30,.367,4,7,.571,6,13,19,23,6,0,17,20
2010-2011 NBA NBA Summer League Stats,Alonzo Gee,SAS,5,156.3,71,25,58,.431,3,9,.333,18,26,.692,8,18,26,9,12,0,19,16
2010-2011 NBA NBA Summer League Stats,Toney Douglas,NYK,5,145.1,70,24,63,.381,9,25,.360,13,17,.765,7,13,20,26,15,0,13,19
2010-2011 NBA NBA Summer League Stats,Larry Sanders,MIL,5,167.6,70,29,65,.446,2,6,.333,10,17,.588,15,27,42,4,7,16,15,24
2010-2011 NBA NBA Summer League Stats,Omri Casspi,SAC,5,122.9,70,22,45,.489,7,16,.438,19,30,.633,7,15,22,3,3,1,10,8
2010-2011 NBA NBA Summer League Stats,Sonny Weems,TOR,4,107.0,70,27,61,.443,3,13,.231,13,24,.542,1,14,15,11,1,0,11,7
2010-2011 NBA NBA Summer League Stats,Rodrigue Beaubois,DAL,5,136.6,70,27,62,.435,8,25,.320,8,13,.615,5,6,11,15,3,1,21,26
2010-2011 NBA NBA Summer League Stats,Curtis Withers,SEL,8,152.7,68,23,47,.489,2,3,.667,20,27,.741,16,24,40,9,5,4,16,27
2010-2011 NBA NBA Summer League Stats,Jordan Hill,HOU,5,145.1,68,24,44,.545,0,0,.000,20,28,.714,12,27,39,5,4,2,12,28
2010-2011 NBA NBA Summer League Stats,Kenny Hasbrouck,MIA,5,142.7,68,25,51,.490,9,20,.450,9,14,.643,1,11,12,12,3,1,14,11
2010-2011 NBA NBA Summer League Stats,Cartier Martin,WAS,5,143.6,67,20,48,.417,8,21,.381,19,22,.864,3,17,20,8,6,0,11,24
2010-2011 NBA NBA Summer League Stats,Curtis Withers,SEL,5,143.7,66,23,45,.511,2,2,1.000,18,25,.720,16,23,39,8,4,4,14,24
2010-2011 NBA NBA Summer League Stats,Deron Washington,MIL,5,153.6,66,23,50,.460,8,16,.500,12,15,.800,6,17,23,5,7,3,13,24
2010-2011 NBA NBA Summer League Stats,Donte Greene,SAC,5,107.9,66,24,52,.462,6,14,.429,12,15,.800,6,7,13,8,3,3,14,19
2010-2011 NBA NBA Summer League Stats,Morris Almond,CHI,5,92.0,66,21,43,.488,5,11,.455,19,30,.633,1,8,9,5,1,1,10,9
2010-2011 NBA NBA Summer League Stats,Dante Cunningham,POR,5,147.6,65,27,60,.450,0,0,.000,11,13,.846,7,23,30,3,4,3,12,20
2010-2011 NBA NBA Summer League Stats,D.J. Strawberry,LAL,5,131.4,65,21,48,.438,2,11,.182,21,31,.677,2,7,9,11,1,4,14,15
2010-2011 NBA NBA Summer League Stats,Mike Gansey,SEL,5,127.2,64,22,45,.489,11,20,.550,9,9,1.000,7,12,19,5,5,0,4,7
2010-2011 NBA NBA Summer League Stats,Othello Hunter,DEN,5,116.2,64,23,37,.622,1,1,1.000,17,23,.739,7,25,32,0,2,5,10,17
2010-2011 NBA NBA Summer League Stats,Ed Davis,TOR,5,125.9,63,24,38,.632,0,0,.000,15,24,.625,10,20,30,5,1,9,11,19
2010-2011 NBA NBA Summer League Stats,Matt Janning,PHX,5,150.4,63,25,58,.431,4,15,.267,9,12,.750,5,24,29,8,6,2,12,13
2010-2011 NBA NBA Summer League Stats,Samardo Samuels,CHI,5,123.5,63,20,35,.571,0,0,.000,23,37,.622,10,27,37,3,2,2,14,22
2010-2011 NBA NBA Summer League Stats,Bobby Brown,TOR,5,105.8,62,25,37,.676,4,8,.500,8,9,.889,0,7,7,20,6,0,7,7
2010-2011 NBA NBA Summer League Stats,Henry Walker,NYK,5,131.1,61,23,58,.397,8,24,.333,7,10,.700,6,9,15,9,4,3,12,23
2010-2011 NBA NBA Summer League Stats,Maurice Ager,NOP,5,114.0,59,20,45,.444,3,10,.300,16,23,.696,1,15,16,12,3,0,13,7
2010-2011 NBA NBA Summer League Stats,Armon Johnson,POR,5,166.2,58,22,45,.489,1,6,.167,13,19,.684,5,8,13,21,11,0,10,8
2010-2011 NBA NBA Summer League Stats,Hasheem Thabeet,MEM,5,153.9,57,16,30,.533,0,0,.000,25,35,.714,13,30,43,3,2,14,11,26
2010-2011 NBA NBA Summer League Stats,Aubrey Coleman,NOP,5,85.3,57,17,33,.515,5,10,.500,18,22,.818,4,11,15,3,4,0,8,5
2010-2011 NBA NBA Summer League Stats,Christian Eyenga,CLE,5,145.8,57,20,46,.435,3,12,.250,14,18,.778,8,13,21,1,2,5,7,22
2010-2011 NBA NBA Summer League Stats,Coby Karl,DEN,4,118.1,56,12,27,.444,6,15,.400,26,31,.839,3,22,25,13,9,1,13,11
2010-2011 NBA NBA Summer League Stats,Lester Hudson,WAS,5,111.5,56,20,41,.488,12,25,.480,4,5,.800,2,12,14,14,7,1,6,19
2010-2011 NBA NBA Summer League Stats,Lazar Hayward,MIN,4,119.9,56,17,49,.347,5,18,.278,17,20,.850,2,12,14,1,3,1,5,13
2010-2011 NBA NBA Summer League Stats,Tyler Wilkerson,SAS,5,121.1,55,23,43,.535,0,1,.000,9,10,.900,12,21,33,2,7,1,7,26
2010-2011 NBA NBA Summer League Stats,John Lucas,CHI,3,81.8,55,19,35,.543,10,14,.714,7,9,.778,0,3,3,8,6,0,2,8
2010-2011 NBA NBA Summer League Stats,Shane Edwards,DEN,5,120.4,54,20,33,.606,0,0,.000,14,26,.538,7,14,21,4,10,0,8,18
2010-2011 NBA NBA Summer League Stats,Curtis Jerrells,SAS,5,138.2,54,19,44,.432,2,9,.222,14,20,.700,4,8,12,22,10,0,15,15
2010-2011 NBA NBA Summer League Stats,Patrick O'Bryant,MIN,5,135.2,52,20,38,.526,0,0,.000,12,15,.800,8,27,35,7,6,9,15,18
2010-2011 NBA NBA Summer League Stats,Shavlik Randolph,MIA,4,88.3,52,14,36,.389,1,1,1.000,23,33,.697,4,19,23,3,2,1,9,16
2010-2011 NBA NBA Summer League Stats,Yaroslav Korolev,SEL,5,108.2,52,16,43,.372,5,18,.278,15,23,.652,2,13,15,6,4,0,13,18
2010-2011 NBA NBA Summer League Stats,Deon Thompson,MIN,5,135.6,51,22,45,.489,0,1,.000,7,15,.467,14,23,37,6,4,5,11,21
2010-2011 NBA NBA Summer League Stats,Danny Green,CLE,4,124.1,51,22,54,.407,3,12,.250,4,6,.667,5,12,17,8,7,4,14,13
2010-2011 NBA NBA Summer League Stats,Omar Samhan,DAL,5,121.2,50,23,44,.523,0,2,.000,4,7,.571,13,22,35,2,3,5,9,19
2010-2011 NBA NBA Summer League Stats,Alade Aminu,ATL,5,97.7,50,19,37,.514,0,0,.000,12,16,.750,11,11,22,2,2,7,5,13
2010-2011 NBA NBA Summer League Stats,Zabian Dowdell,PHX,5,118.5,50,20,44,.455,3,7,.429,7,8,.875,2,9,11,19,5,0,9,7
2010-2011 NBA NBA Summer League Stats,Ronald Dupree,TOR,5,98.8,50,15,30,.500,0,0,.000,20,27,.741,0,20,20,4,1,2,5,12
2010-2011 NBA NBA Summer League Stats,Craig Brackins,NOP,5,122.1,50,16,42,.381,10,21,.476,8,12,.667,3,20,23,2,2,1,6,15
2010-2011 NBA NBA Summer League Stats,Eric Bledsoe,LAC,5,171.6,50,17,44,.386,1,4,.250,15,28,.536,3,18,21,18,8,1,31,10
2010-2011 NBA NBA Summer League Stats,Jeremy Lin,DAL,5,92.7,49,18,33,.545,2,3,.667,11,16,.688,3,13,16,9,6,1,16,15
2010-2011 NBA NBA Summer League Stats,Terrico White,DET,5,130.1,48,18,38,.474,4,12,.333,8,11,.727,5,5,10,8,5,4,5,8
2010-2011 NBA NBA Summer League Stats,Russell Robinson,SEL,4,66.8,47,13,28,.464,4,10,.400,17,22,.773,1,2,3,9,5,0,6,4
2010-2011 NBA NBA Summer League Stats,Weyinmi Efejuku Rose,MIA,4,93.5,47,12,29,.414,0,1,.000,23,26,.885,0,9,9,9,3,0,12,4
2010-2011 NBA NBA Summer League Stats,Jonathan Wallace,SEL,5,131.5,47,20,44,.455,1,12,.083,6,14,.429,0,11,11,16,3,0,8,18
2010-2011 NBA NBA Summer League Stats,Austin Daye,DET,3,75.2,47,15,39,.385,4,9,.444,13,19,.684,1,10,11,8,2,3,9,14
2010-2011 NBA NBA Summer League Stats,Patrick Patterson,HOU,5,141.0,46,20,45,.444,2,11,.182,4,4,1.000,6,30,36,5,2,4,6,14
2010-2011 NBA NBA Summer League Stats,Kim Tillie,GSW,5,121.4,46,17,36,.472,0,0,.000,12,17,.706,15,19,34,2,7,4,8,37
2010-2011 NBA NBA Summer League Stats,DeMarre Carroll,MEM,5,151.4,46,16,43,.372,0,1,.000,14,29,.483,7,19,26,4,5,1,9,17
2010-2011 NBA NBA Summer League Stats,Trey Gilder,ATL,5,111.6,44,13,27,.481,2,7,.286,16,19,.842,7,15,22,7,5,0,6,13
2010-2011 NBA NBA Summer League Stats,Darrell Arthur,MEM,4,103.0,44,21,43,.488,0,1,.000,2,5,.400,8,14,22,6,6,1,5,18
2010-2011 NBA NBA Summer League Stats,Brian Chase,GSW,5,120.4,44,14,47,.298,7,20,.350,9,11,.818,3,9,12,23,4,0,15,12
2010-2011 NBA NBA Summer League Stats,Courtney Sims,LAL,5,125.8,43,14,26,.538,0,0,.000,15,18,.833,14,15,29,4,3,2,8,17
2010-2011 NBA NBA Summer League Stats,Gerald Green,LAL,5,92.6,43,17,38,.447,3,13,.231,6,6,1.000,4,14,18,5,0,3,10,10
2010-2011 NBA NBA Summer League Stats,Jeremy Pargo,MIN,5,151.7,43,15,45,.333,2,12,.167,11,17,.647,1,14,15,21,11,0,23,18
2010-2011 NBA NBA Summer League Stats,Kyle Hines,NOP,5,115.2,42,13,33,.394,0,0,.000,16,30,.533,23,16,39,6,6,6,5,14
2010-2011 NBA NBA Summer League Stats,Leo Lyons,NYK,4,62.5,42,14,25,.560,1,3,.333,13,16,.813,5,8,13,2,2,0,5,14
2010-2011 NBA NBA Summer League Stats,Larry Owens,SEL,4,110.3,42,17,45,.378,2,9,.222,6,10,.600,5,8,13,5,9,0,7,24
2010-2011 NBA NBA Summer League Stats,Hassan Whiteside,SAC,6,155.0,41,18,41,.439,0,0,.000,5,12,.417,7,23,30,0,4,14,10,17
2010-2011 NBA NBA Summer League Stats,Trevor Booker,WAS,5,141.4,41,16,31,.516,0,1,.000,9,13,.692,7,14,21,3,7,5,13,13
2010-2011 NBA NBA Summer League Stats,Solomon Alabi,TOR,5,91.8,41,13,23,.565,0,0,.000,15,16,.938,9,16,25,3,1,5,10,24
2010-2011 NBA NBA Summer League Stats,Kasib Powell,GSW,5,81.6,41,14,36,.389,4,14,.286,9,10,.900,5,6,11,6,2,1,4,7
2010-2011 NBA NBA Summer League Stats,DeAndre Jordan,LAC,4,110.0,41,14,27,.519,0,0,.000,13,32,.406,8,20,28,1,2,7,17,13
2010-2011 NBA NBA Summer League Stats,Laurence Ekperigin,DEN,5,59.3,40,12,20,.600,0,0,.000,16,24,.667,8,9,17,0,0,0,10,19
2010-2011 NBA NBA Summer League Stats,James Johnson,CHI,5,137.7,40,13,40,.325,2,6,.333,12,20,.600,3,14,17,12,5,7,15,32
2010-2011 NBA NBA Summer League Stats,Ish Smith,HOU,5,119.4,39,18,31,.581,0,1,.000,3,7,.429,2,8,10,24,3,1,5,14
2010-2011 NBA NBA Summer League Stats,Sylven Landesberg,SAC,4,82.5,38,12,26,.462,0,2,.000,14,20,.700,4,7,11,3,3,0,1,5
2010-2011 NBA NBA Summer League Stats,Trent Plaisted,CHI,5,118.4,37,15,24,.625,0,0,.000,7,12,.583,18,27,45,4,0,4,11,16
2010-2011 NBA NBA Summer League Stats,Jeff Ayres,POR,4,117.4,37,15,44,.341,0,0,.000,7,12,.583,9,29,38,6,3,3,10,19
2010-2011 NBA NBA Summer League Stats,Marcus Thornton,NOP,2,63.0,37,16,36,.444,1,6,.167,4,7,.571,2,11,13,1,5,0,3,3
2010-2011 NBA NBA Summer League Stats,Jerome Jordan,NYK,5,90.5,37,14,22,.636,0,0,.000,9,13,.692,8,15,23,2,3,3,14,34
2010-2011 NBA NBA Summer League Stats,Dwayne Mitchell,SAS,4,69.3,36,11,18,.611,1,4,.250,13,15,.867,2,6,8,5,10,0,10,10
2010-2011 NBA NBA Summer League Stats,Sean Williams,MIL,5,75.6,36,13,24,.542,0,0,.000,10,14,.714,12,10,22,0,1,2,13,21
2010-2011 NBA NBA Summer League Stats,Micah Downs,MIL,5,96.0,35,12,26,.462,7,12,.583,4,4,1.000,3,7,10,5,2,1,3,6
2010-2011 NBA NBA Summer League Stats,Antywane Robinson,MIA,5,120.8,35,15,36,.417,5,9,.556,0,0,.000,6,3,9,2,6,1,7,3
2010-2011 NBA NBA Summer League Stats,Willie Warren,LAC,5,100.7,35,12,27,.444,5,8,.625,6,8,.750,1,6,7,6,3,0,6,12
2010-2011 NBA NBA Summer League Stats,Greivis Vasquez,MEM,5,130.6,35,13,37,.351,4,13,.308,5,7,.714,1,9,10,20,5,1,19,18
2010-2011 NBA NBA Summer League Stats,Randolph Morris,ATL,5,70.8,35,11,22,.500,0,0,.000,13,18,.722,7,7,14,1,0,1,9,17
2010-2011 NBA NBA Summer League Stats,Jerome Dyson,CLE,5,73.1,35,9,32,.281,5,17,.294,12,20,.600,3,4,7,1,4,2,6,7
2010-2011 NBA NBA Summer League Stats,Richard Hendrix,ATL,4,71.0,34,15,23,.652,0,0,.000,4,5,.800,4,8,12,3,6,4,2,11
2010-2011 NBA NBA Summer League Stats,Richard Roby,DEN,5,109.3,34,12,37,.324,2,10,.200,8,18,.444,3,14,17,5,2,0,7,12
2010-2011 NBA NBA Summer League Stats,Dontaye Draper,DEN,5,98.8,33,11,24,.458,1,5,.200,10,14,.714,1,8,9,15,11,0,8,10
2010-2011 NBA NBA Summer League Stats,Luke Jackson,ATL,5,88.1,33,11,22,.500,7,14,.500,4,4,1.000,1,10,11,4,5,1,6,3
2010-2011 NBA NBA Summer League Stats,Marcus Landry,NYK,4,51.0,33,10,24,.417,5,11,.455,8,11,.727,5,3,8,2,4,2,1,3
2010-2011 NBA NBA Summer League Stats,Garret Siler,MIA,5,69.9,33,12,16,.750,0,0,.000,9,14,.643,5,14,19,2,1,3,8,15
2010-2011 NBA NBA Summer League Stats,Dionte Christmas,SAC,5,72.1,33,11,21,.524,3,9,.333,8,11,.727,1,5,6,4,2,1,4,6
2010-2011 NBA NBA Summer League Stats,Frank Robinson,LAL,5,97.5,33,13,33,.394,2,9,.222,5,9,.556,4,13,17,5,6,3,9,14
2010-2011 NBA NBA Summer League Stats,Keith Haynes,DET,4,75.8,33,9,22,.409,3,9,.333,12,13,.923,2,4,6,5,2,2,8,14
2010-2011 NBA NBA Summer League Stats,Tiny Gallon,MIL,5,97.3,33,14,38,.368,2,7,.286,3,5,.600,15,22,37,2,0,4,20,23
2010-2011 NBA NBA Summer League Stats,Trey Johnson,LAC,5,127.8,33,13,39,.333,1,6,.167,6,7,.857,1,6,7,7,1,0,10,17
2010-2011 NBA NBA Summer League Stats,Kevin Palmer,WAS,4,68.7,32,12,21,.571,4,8,.500,4,8,.500,5,7,12,4,0,0,3,5
2010-2011 NBA NBA Summer League Stats,Tyrese Rice,SAC,5,89.2,32,12,30,.400,2,12,.167,6,7,.857,1,7,8,13,5,1,9,3
2010-2011 NBA NBA Summer League Stats,J.R. Giddens,DAL,5,124.1,32,14,35,.400,2,3,.667,2,4,.500,5,16,21,5,5,2,7,13
2010-2011 NBA NBA Summer League Stats,Andre Brown,GSW,5,110.2,31,13,30,.433,0,0,.000,5,10,.500,11,28,39,1,2,2,5,21
2010-2011 NBA NBA Summer League Stats,Scottie Reynolds,PHX,3,69.3,31,10,21,.476,4,9,.444,7,7,1.000,0,2,2,14,2,1,5,11
2010-2011 NBA NBA Summer League Stats,Matt Bouldin,CHI,5,123.7,31,11,31,.355,4,12,.333,5,5,1.000,0,11,11,12,6,0,14,12
2010-2011 NBA NBA Summer League Stats,Jonas Jerebko,DET,3,84.4,31,10,24,.417,0,4,.000,11,12,.917,6,10,16,4,1,0,8,17
2010-2011 NBA NBA Summer League Stats,Brandan Wright,GSW,2,46.2,31,9,21,.429,0,0,.000,13,19,.684,2,6,8,0,0,3,7,6
2010-2011 NBA NBA Summer League Stats,O.J. Mayo,MEM,2,65.7,31,11,23,.478,0,4,.000,9,11,.818,0,4,4,6,3,0,15,11
2010-2011 NBA NBA Summer League Stats,Derrick Byars,CHI,5,94.1,30,8,29,.276,6,16,.375,8,8,1.000,2,15,17,7,6,0,7,6
2010-2011 NBA NBA Summer League Stats,Michael Roll,TOR,4,66.9,30,12,27,.444,2,7,.286,4,6,.667,0,7,7,3,1,0,1,7
2010-2011 NBA NBA Summer League Stats,Tasmin Mitchell,CLE,5,102.6,29,11,24,.458,0,0,.000,7,10,.700,11,16,27,3,6,1,4,22
2010-2011 NBA NBA Summer League Stats,Andy Rautins,NYK,5,119.4,29,11,34,.324,7,26,.269,0,0,.000,3,6,9,7,4,0,6,8
2010-2011 NBA NBA Summer League Stats,Joey Dorsey,TOR,4,80.4,28,10,19,.526,0,0,.000,8,15,.533,16,23,39,5,1,2,5,11
2010-2011 NBA NBA Summer League Stats,Marqus Blakely,LAC,4,93.0,28,13,20,.650,1,2,.500,1,2,.500,10,9,19,3,8,1,7,12
2010-2011 NBA NBA Summer League Stats,Darryl Watkins,SAS,6,121.0,28,6,16,.375,0,0,.000,16,22,.727,8,24,32,2,5,0,5,25
2010-2011 NBA NBA Summer League Stats,Davon Jefferson,MIA,3,55.6,28,9,16,.563,0,0,.000,10,16,.625,4,10,14,4,1,1,4,10
2010-2011 NBA NBA Summer League Stats,Brian Hamilton,DEN,5,72.2,28,7,19,.368,2,5,.400,12,17,.706,6,5,11,1,4,0,3,17
2010-2011 NBA NBA Summer League Stats,Mac Koshwal,DET,5,93.9,27,8,17,.471,0,0,.000,11,21,.524,15,21,36,4,4,0,7,23
2010-2011 NBA NBA Summer League Stats,Mouhammad Faye,DAL,5,91.8,27,11,26,.423,0,1,.000,5,8,.625,10,20,30,1,1,2,3,10
2010-2011 NBA NBA Summer League Stats,Wayne Chism,SAC,5,86.5,27,12,21,.571,0,0,.000,3,4,.750,11,16,27,3,3,0,6,21
2010-2011 NBA NBA Summer League Stats,Elijah Millsap,DET,4,80.9,27,10,26,.385,0,2,.000,7,12,.583,10,10,20,5,3,2,6,16
