League,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
2005-2006 NBA NBA Summer League Stats,Noel Felix,NJN,5,74.0,10,4,16,.250,0,0,.000,2,4,.500,6,8,14,0,3,2,6,18
2005-2006 NBA NBA Summer League Stats,Victor Muzadi,DAL,4,39.0,10,3,10,.300,0,0,.000,4,6,.667,1,4,5,0,0,2,4,10
2005-2006 NBA NBA Summer League Stats,Aaron Miles,NYK,2,28.0,9,4,7,.571,0,1,.000,1,2,.500,1,4,5,4,0,0,2,4
2005-2006 NBA NBA Summer League Stats,Chris Garnett,NOP,3,22.0,9,2,5,.400,0,0,.000,5,6,.833,3,4,7,0,0,1,3,6
2005-2006 NBA NBA Summer League Stats,DeSean Hadley,NOP,4,24.0,9,2,5,.400,1,2,.500,4,4,1.000,0,2,2,1,0,0,1,7
2005-2006 NBA NBA Summer League Stats,Martynas Andriuskevicius,CLE,3,45.0,9,4,9,.444,0,0,.000,1,2,.500,6,2,8,1,0,4,7,11
2005-2006 NBA NBA Summer League Stats,Cheyne Gadson,NYK,3,28.0,8,4,7,.571,0,0,.000,0,1,.000,1,3,4,2,0,0,3,1
2005-2006 NBA NBA Summer League Stats,Jerry Holman,DET,2,17.0,8,3,5,.600,0,0,.000,2,3,.667,2,1,3,0,0,0,1,3
2005-2006 NBA NBA Summer League Stats,David Graves,GSW,1,19.0,8,2,3,.667,0,0,.000,4,4,1.000,0,1,1,0,0,0,2,2
2005-2006 NBA NBA Summer League Stats,Dawid Przybyszewski,CHI,5,35.0,8,4,12,.333,0,0,.000,0,0,.000,2,4,6,0,0,0,2,8
2005-2006 NBA NBA Summer League Stats,Ed Cota,WAS,3,58.0,7,3,10,.300,1,4,.250,0,0,.000,1,4,5,8,1,0,2,4
2005-2006 NBA NBA Summer League Stats,Mire Chatman,LAC,2,12.0,7,3,3,1.000,0,0,.000,1,2,.500,0,1,1,1,1,0,2,3
2005-2006 NBA NBA Summer League Stats,Shaun Livingston,LAC,1,25.0,7,2,8,.250,0,0,.000,3,3,1.000,1,4,5,2,1,0,2,5
2005-2006 NBA NBA Summer League Stats,Thomas Kelati,LAC,5,71.0,7,2,14,.143,1,7,.143,2,2,1.000,2,7,9,1,2,0,0,13
2005-2006 NBA NBA Summer League Stats,Matt Lottich,NJN,3,27.0,6,2,7,.286,2,3,.667,0,0,.000,1,2,3,1,0,1,0,5
2005-2006 NBA NBA Summer League Stats,Pavel Milos,DET,1,5.0,6,2,4,.500,2,4,.500,0,0,.000,0,0,0,0,0,0,1,4
2005-2006 NBA NBA Summer League Stats,Joe Dabbert,DEN,2,13.0,6,3,7,.429,0,0,.000,0,0,.000,2,1,3,0,1,0,3,4
2005-2006 NBA NBA Summer League Stats,Lamar Rice,NYK,2,25.0,6,3,8,.375,0,0,.000,0,0,.000,1,1,2,0,0,0,3,2
2005-2006 NBA NBA Summer League Stats,Elbert Fuqua,NYK,3,17.0,5,2,5,.400,1,1,1.000,0,0,.000,5,3,8,0,0,2,1,6
2005-2006 NBA NBA Summer League Stats,Paul Marigney,GSW,4,48.0,5,1,4,.250,1,2,.500,2,2,1.000,1,7,8,2,1,1,1,11
2005-2006 NBA NBA Summer League Stats,Marcus Campbell,SAC,2,18.0,5,2,6,.333,0,0,.000,1,2,.500,3,6,9,0,0,1,2,6
2005-2006 NBA NBA Summer League Stats,Jarred Merrill,NOP,4,25.0,4,2,4,.500,0,0,.000,0,0,.000,2,2,4,0,0,0,0,5
2005-2006 NBA NBA Summer League Stats,Cookie Belcher,SAC,3,23.0,4,1,5,.200,0,0,.000,2,2,1.000,0,0,0,3,0,1,0,4
2005-2006 NBA NBA Summer League Stats,Ryan Randle,CLE,4,28.0,4,2,7,.286,0,1,.000,0,2,.000,4,3,7,0,1,1,4,8
2005-2006 NBA NBA Summer League Stats,Jeremiah Massey,BOS,2,16.0,4,1,2,.500,0,1,.000,2,3,.667,0,3,3,0,0,0,3,5
2005-2006 NBA NBA Summer League Stats,Harold Jamison,PHX,6,91.0,4,2,6,.333,0,0,.000,0,6,.000,6,12,18,0,0,2,7,19
2005-2006 NBA NBA Summer League Stats,Carl English,CLE,5,29.0,4,1,8,.125,1,2,.500,1,2,.500,0,4,4,1,0,0,2,6
2005-2006 NBA NBA Summer League Stats,Bryan Bracey,CLE,2,14.0,3,1,3,.333,0,0,.000,1,2,.500,1,2,3,0,0,0,2,2
