League,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2006-2007 NBA NBA Summer League Stats,Jawad Williams,LAC,5,12.4,7.6,2.8,5.6,.500,1.2,2.0,.600,0.8,1.0,.800,1.4,0.6,2.0,0.2,0.4,0.0,0.6,1.2
2006-2007 NBA NBA Summer League Stats,Pooh Jeter,SAC,5,16.0,7.4,3.0,5.8,.517,0.4,0.8,.500,1.0,1.4,.714,0.2,1.6,1.8,1.8,0.6,0.0,0.4,2.4
2006-2007 NBA NBA Summer League Stats,Paul Miller,NYK,5,16.4,7.4,3.4,6.6,.515,0.2,0.4,.500,0.4,0.8,.500,0.2,1.6,1.8,0.2,0.2,0.2,0.8,1.4
2006-2007 NBA NBA Summer League Stats,Ralphy Holmes,DEN,3,14.7,7.3,2.7,4.3,.615,0.7,1.3,.500,1.3,1.7,.800,0.3,0.3,0.7,2.0,0.3,0.0,0.3,1.7
2006-2007 NBA NBA Summer League Stats,Chris Owens,PHX,4,18.3,7.3,2.5,6.0,.417,0.0,0.0,.000,2.3,3.5,.643,2.0,2.8,4.8,0.3,0.5,0.0,1.3,4.5
2006-2007 NBA NBA Summer League Stats,Cheickh Samb,DET,5,25.4,7.2,3.0,4.6,.652,0.0,0.0,.000,1.2,2.2,.545,1.8,3.0,4.8,0.4,0.2,1.8,0.6,3.8
2006-2007 NBA NBA Summer League Stats,Lonny Baxter,HOU,5,22.6,7.2,2.8,4.0,.700,0.0,0.0,.000,1.6,3.0,.533,2.6,2.4,5.0,0.2,0.2,0.0,1.6,3.8
2006-2007 NBA NBA Summer League Stats,Rick Rickert,DET,5,14.4,7.0,2.4,3.8,.632,0.0,0.0,.000,2.2,3.2,.688,2.0,3.0,5.0,0.2,0.2,0.4,0.6,2.6
2006-2007 NBA NBA Summer League Stats,Peter John Ramos,WAS,5,27.0,7.0,2.8,5.4,.519,0.0,0.0,.000,1.4,2.4,.583,2.4,4.0,6.4,1.4,0.0,1.0,3.2,5.0
2006-2007 NBA NBA Summer League Stats,Andre Emmett,DAL,3,17.0,7.0,2.7,4.7,.571,0.3,0.7,.500,1.3,3.0,.444,0.3,2.0,2.3,1.0,0.3,0.0,0.7,0.7
2006-2007 NBA NBA Summer League Stats,Guillermo Diaz,LAC,4,20.3,7.0,2.8,6.0,.458,0.8,1.3,.600,0.8,1.0,.750,0.8,1.0,1.8,1.3,0.8,0.0,1.0,2.8
