League,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2008-2009 NBA NBA Summer League Stats,Bobby Brown,NOP,6,34.9,15.2,6.0,14.2,.424,0.7,4.2,.160,2.5,3.3,.750,0.7,2.5,3.2,6.3,0.5,0.0,2.2,2.5
2008-2009 NBA NBA Summer League Stats,Arron Afflalo,DET,5,32.1,15.0,4.4,10.8,.407,0.2,0.6,.333,6.0,7.4,.811,1.0,2.8,3.8,3.4,0.6,0.2,3.0,2.4
2008-2009 NBA NBA Summer League Stats,Anthony Roberson,NYK,5,25.4,14.8,5.6,14.4,.389,1.6,4.6,.348,2.0,3.0,.667,0.2,1.2,1.4,0.8,0.4,0.2,1.8,2.0
2008-2009 NBA NBA Summer League Stats,Al Thornton,LAC,4,26.0,14.5,4.8,11.0,.432,0.5,1.5,.333,4.5,5.8,.783,1.3,3.8,5.0,1.3,0.3,1.0,1.8,1.5
2008-2009 NBA NBA Summer League Stats,Rodney Stuckey,DET,2,21.5,14.5,4.5,11.5,.391,0.0,0.5,.000,5.5,6.0,.917,1.5,3.0,4.5,2.5,1.0,0.0,2.5,4.0
2008-2009 NBA NBA Summer League Stats,Anthony Morrow,GSW,3,20.6,14.3,5.7,8.0,.708,2.0,2.3,.857,1.0,1.3,.750,0.7,1.7,2.3,0.3,0.7,0.0,1.0,1.0
2008-2009 NBA NBA Summer League Stats,Shelden Williams,SAC,4,28.7,14.3,4.8,8.3,.576,0.0,0.0,.000,4.8,6.5,.731,2.5,6.3,8.8,1.0,0.3,0.8,2.8,4.3
2008-2009 NBA NBA Summer League Stats,Pops Mensah-Bonsu,MIN,4,23.2,14.3,5.0,8.8,.571,0.0,0.0,.000,4.3,6.0,.708,2.5,3.0,5.5,1.0,0.5,1.5,3.5,4.3
2008-2009 NBA NBA Summer League Stats,Hilton Armstrong,NOP,6,31.2,14.0,4.7,9.7,.483,0.0,0.2,.000,4.7,6.3,.737,1.8,3.8,5.7,0.7,0.2,1.0,2.5,5.5
2008-2009 NBA NBA Summer League Stats,Danilo Gallinari,NYK,1,29.9,14.0,5.0,11.0,.455,0.0,4.0,.000,4.0,4.0,1.000,4.0,2.0,6.0,2.0,0.0,1.0,4.0,5.0
2008-2009 NBA NBA Summer League Stats,Darian Townes,SAC,1,18.7,14.0,4.0,7.0,.571,0.0,0.0,.000,6.0,11.0,.545,2.0,4.0,6.0,0.0,0.0,0.0,1.0,6.0
2008-2009 NBA NBA Summer League Stats,Coby Karl,LAL,6,29.5,13.8,3.7,10.5,.349,1.8,4.8,.379,4.7,5.7,.824,0.7,2.5,3.2,1.7,0.8,0.2,1.7,4.2
2008-2009 NBA NBA Summer League Stats,Elton Brown,DEN,5,24.0,13.4,5.2,9.0,.578,0.0,0.0,.000,3.0,4.4,.682,5.4,4.6,10.0,0.2,0.2,0.0,2.6,3.6
2008-2009 NBA NBA Summer League Stats,Gerald Green,DAL,4,21.7,13.3,3.5,9.5,.368,1.3,2.8,.455,5.0,6.5,.769,0.5,3.3,3.8,0.3,0.8,0.3,1.8,4.3
2008-2009 NBA NBA Summer League Stats,Petteri Koponen,POR,5,31.1,13.2,5.4,14.2,.380,1.0,4.0,.250,1.4,2.4,.583,0.4,2.2,2.6,3.4,1.0,0.0,3.2,2.0
2008-2009 NBA NBA Summer League Stats,Brandan Wright,GSW,4,30.1,12.8,4.5,9.0,.500,0.0,0.0,.000,3.8,5.5,.682,2.8,4.8,7.5,0.0,1.3,1.8,2.3,4.8
2008-2009 NBA NBA Summer League Stats,Mike Harris,HOU,3,27.4,12.7,5.7,8.7,.654,0.0,1.0,.000,1.3,2.0,.667,2.0,4.3,6.3,2.0,0.0,0.3,3.7,4.3
2008-2009 NBA NBA Summer League Stats,Robin Lopez,PHX,3,28.1,12.3,5.0,11.3,.441,0.0,0.0,.000,2.3,3.7,.636,3.0,5.7,8.7,1.7,0.0,1.7,1.7,2.0
2008-2009 NBA NBA Summer League Stats,James Gist,SAS,3,24.3,12.3,5.0,8.0,.625,0.7,1.3,.500,1.7,1.7,1.000,2.3,5.7,8.0,1.0,1.0,0.0,2.0,5.0
2008-2009 NBA NBA Summer League Stats,John Lucas,TOR,5,27.9,12.2,4.2,10.6,.396,1.2,3.0,.400,2.6,3.2,.813,0.6,2.8,3.4,4.6,0.6,0.2,2.0,2.2
2008-2009 NBA NBA Summer League Stats,Blake Ahearn,MIN,5,24.2,12.2,4.0,9.2,.435,1.4,4.0,.350,2.8,2.8,1.000,0.0,1.6,1.6,1.6,0.4,0.0,2.0,2.0
2008-2009 NBA NBA Summer League Stats,Anthony Tolliver,SAS,2,21.9,12.0,3.5,6.0,.583,2.5,4.0,.625,2.5,3.0,.833,2.0,3.5,5.5,1.0,0.0,0.0,2.0,3.0
2008-2009 NBA NBA Summer League Stats,Ian Mahinmi,SAS,2,29.4,12.0,3.0,10.0,.300,0.0,0.0,.000,6.0,7.0,.857,2.5,7.0,9.5,0.5,1.0,0.5,2.5,4.5
2008-2009 NBA NBA Summer League Stats,Will Bynum,DET,5,26.9,11.8,4.4,7.0,.629,0.0,0.2,.000,3.0,4.4,.682,0.2,1.8,2.0,3.2,1.4,0.0,3.2,3.4
2008-2009 NBA NBA Summer League Stats,Romel Beck,CLE,4,22.0,11.8,5.3,9.3,.568,0.8,1.3,.600,0.5,0.5,1.000,2.0,1.8,3.8,1.5,0.0,0.3,1.3,1.8
2008-2009 NBA NBA Summer League Stats,Matt Freije,MIL,4,21.6,11.8,4.3,7.3,.586,2.3,3.8,.600,1.0,1.5,.667,0.3,1.3,1.5,1.0,0.5,1.0,1.0,3.3
2008-2009 NBA NBA Summer League Stats,Dominic McGuire,WAS,5,26.1,11.4,5.0,8.0,.625,0.0,0.0,.000,1.4,2.8,.500,1.6,4.8,6.4,1.6,0.4,1.6,2.2,3.2
2008-2009 NBA NBA Summer League Stats,Joe Crawford,LAL,6,22.6,11.3,4.2,9.3,.446,0.8,1.8,.455,2.2,2.8,.765,1.3,1.3,2.7,1.3,0.7,0.2,1.7,2.3
2008-2009 NBA NBA Summer League Stats,Julian Wright,NOP,6,33.5,11.0,4.3,13.2,.329,0.3,2.3,.143,2.0,3.2,.632,2.2,3.0,5.2,2.2,1.8,1.3,4.7,2.5
2008-2009 NBA NBA Summer League Stats,Joey Dorsey,HOU,2,16.7,11.0,5.0,6.5,.769,0.0,0.0,.000,1.0,1.5,.667,3.5,3.0,6.5,0.0,0.0,0.0,1.0,3.0
2008-2009 NBA NBA Summer League Stats,Mike Conley,MEM,3,25.8,11.0,3.7,8.0,.458,1.3,3.0,.444,2.3,3.3,.700,0.3,1.3,1.7,3.0,0.3,0.0,2.7,2.7
2008-2009 NBA NBA Summer League Stats,Nick Young,WAS,5,26.6,11.0,3.8,10.8,.352,1.2,2.8,.429,2.2,2.8,.786,0.4,2.2,2.6,1.0,0.4,0.4,1.6,3.6
2008-2009 NBA NBA Summer League Stats,Mike Taylor,LAC,4,27.8,11.0,3.8,10.0,.375,0.5,2.0,.250,3.0,5.0,.600,1.0,3.5,4.5,2.3,1.0,0.3,4.8,5.0
2008-2009 NBA NBA Summer League Stats,Mardy Collins,NYK,5,25.9,10.8,3.0,8.2,.366,0.4,1.8,.222,4.4,5.2,.846,0.6,3.4,4.0,4.2,1.0,0.2,1.4,3.2
2008-2009 NBA NBA Summer League Stats,Charles Rhodes,DAL,5,18.9,10.8,4.0,6.2,.645,0.0,0.0,.000,2.8,3.6,.778,2.8,3.2,6.0,1.4,0.6,0.4,1.8,5.0
2008-2009 NBA NBA Summer League Stats,James Singleton,DAL,5,21.9,10.8,3.6,8.0,.450,0.4,1.4,.286,3.2,4.0,.800,3.2,2.2,5.4,0.6,0.4,0.2,2.0,6.2
2008-2009 NBA NBA Summer League Stats,P.J. Tucker,MEM,3,21.3,10.7,3.7,5.3,.688,0.0,0.0,.000,3.3,4.3,.769,3.7,3.7,7.3,1.0,1.3,0.3,2.0,3.7
2008-2009 NBA NBA Summer League Stats,Hassan Adams,TOR,5,27.6,10.6,4.0,8.8,.455,0.0,0.0,.000,2.6,4.0,.650,1.8,2.4,4.2,2.6,2.4,0.8,1.4,2.8
2008-2009 NBA NBA Summer League Stats,Jamont Gordon,PHI,5,27.8,10.6,3.4,7.6,.447,0.0,1.0,.000,3.8,5.4,.704,1.0,2.4,3.4,4.0,1.0,0.2,3.2,4.2
2008-2009 NBA NBA Summer League Stats,Jermareo Davidson,CHA,5,16.4,10.4,4.0,6.6,.606,0.0,0.0,.000,2.4,3.2,.750,1.4,4.0,5.4,0.6,0.2,0.6,1.6,2.2
2008-2009 NBA NBA Summer League Stats,Darrell Arthur,MEM,3,24.1,10.3,4.3,10.0,.433,0.0,0.0,.000,1.7,2.0,.833,1.0,1.7,2.7,0.7,0.7,1.0,2.0,8.7
2008-2009 NBA NBA Summer League Stats,Keith Langford,DEN,5,16.3,10.2,3.2,5.2,.615,1.2,1.6,.750,2.6,3.2,.813,0.0,0.8,0.8,1.8,0.2,0.2,1.4,2.0
2008-2009 NBA NBA Summer League Stats,Cheickh Samb,DET,5,25.9,10.0,4.2,9.6,.438,0.0,0.0,.000,1.6,2.6,.615,1.2,3.4,4.6,0.8,0.0,2.0,1.2,3.2
2008-2009 NBA NBA Summer League Stats,Bobby Jones,DEN,5,21.3,10.0,2.4,5.8,.414,0.8,2.4,.333,4.4,6.4,.688,2.2,2.4,4.6,0.6,0.4,0.0,1.2,4.2
2008-2009 NBA NBA Summer League Stats,Craig Smith,MIN,1,19.2,10.0,5.0,9.0,.556,0.0,0.0,.000,0.0,2.0,.000,2.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0
2008-2009 NBA NBA Summer League Stats,Pooh Jeter,MIN,5,22.8,9.8,4.0,6.6,.606,0.0,0.2,.000,1.8,1.8,1.000,0.2,1.6,1.8,2.8,1.2,0.0,1.6,2.2
2008-2009 NBA NBA Summer League Stats,Corey Brewer,MIN,5,27.7,9.8,4.0,10.8,.370,0.0,0.6,.000,1.8,2.8,.643,1.2,3.2,4.4,3.0,0.8,0.6,3.2,2.8
2008-2009 NBA NBA Summer League Stats,C.J. Giles,TOR,3,24.2,9.7,3.7,7.0,.524,0.0,0.0,.000,2.3,3.3,.700,3.0,4.0,7.0,1.3,0.7,3.3,1.7,5.7
2008-2009 NBA NBA Summer League Stats,Darius Washington,MIL,5,23.8,9.6,3.4,7.4,.459,0.4,1.0,.400,2.4,2.6,.923,0.8,2.2,3.0,3.4,1.0,0.0,2.2,2.8
2008-2009 NBA NBA Summer League Stats,J.R. Pinnock,POR,5,16.6,9.6,3.8,6.4,.594,0.8,1.0,.800,1.2,1.4,.857,0.6,1.8,2.4,0.8,0.2,0.2,1.2,0.6
2008-2009 NBA NBA Summer League Stats,Nick Fazekas,LAC,4,22.1,9.5,4.3,7.8,.548,0.0,0.0,.000,1.0,1.3,.800,1.8,3.0,4.8,0.3,1.0,0.5,1.5,3.0
2008-2009 NBA NBA Summer League Stats,Devin Green,SAS,2,28.8,9.5,4.0,7.5,.533,0.0,1.0,.000,1.5,2.0,.750,1.5,2.0,3.5,0.5,0.5,0.0,3.0,3.0
2008-2009 NBA NBA Summer League Stats,Nate Robinson,NYK,2,23.3,9.5,1.0,8.0,.125,0.5,4.0,.125,7.0,8.5,.824,0.5,2.5,3.0,3.0,0.5,0.0,2.0,3.5
2008-2009 NBA NBA Summer League Stats,Joe Alexander,MIL,5,28.0,9.2,3.6,10.4,.346,0.2,0.8,.250,1.8,2.2,.818,0.6,3.0,3.6,1.8,0.0,1.2,1.2,3.2
2008-2009 NBA NBA Summer League Stats,Sonny Weems,DEN,5,22.3,9.2,3.8,10.8,.352,0.2,0.8,.250,1.4,2.4,.583,1.4,1.6,3.0,0.8,0.2,0.2,2.8,2.6
2008-2009 NBA NBA Summer League Stats,Luc Mbah a Moute,MIL,5,25.5,9.0,3.2,7.2,.444,0.0,0.0,.000,2.6,3.4,.765,1.6,5.0,6.6,0.8,0.8,0.4,2.0,2.2
2008-2009 NBA NBA Summer League Stats,Amir Johnson,DET,5,25.9,9.0,3.2,5.6,.571,0.0,0.0,.000,2.6,4.4,.591,1.6,4.4,6.0,0.0,0.8,1.0,3.0,7.2
2008-2009 NBA NBA Summer League Stats,Nik Caner-Medley,LAL,5,17.4,8.8,2.8,6.4,.438,0.2,0.8,.250,3.0,3.8,.789,1.8,3.2,5.0,0.8,0.2,0.0,1.6,1.4
2008-2009 NBA NBA Summer League Stats,Walter Sharpe,DET,5,23.0,8.8,2.8,7.6,.368,0.6,1.0,.600,2.6,3.4,.765,1.2,2.2,3.4,2.2,1.4,0.2,1.8,4.0
2008-2009 NBA NBA Summer League Stats,Orien Greene,CHA,5,16.1,8.8,2.8,4.2,.667,0.8,1.0,.800,2.4,3.2,.750,0.2,1.8,2.0,2.0,0.8,0.2,2.8,3.8
2008-2009 NBA NBA Summer League Stats,Marcus E. Williams,LAC,4,18.8,8.8,2.3,7.3,.310,0.0,0.0,.000,4.3,5.0,.850,2.0,3.5,5.5,0.8,1.0,0.3,1.0,1.3
2008-2009 NBA NBA Summer League Stats,Panchi Barrera,HOU,3,21.9,8.7,3.0,6.0,.500,1.0,3.0,.333,1.7,2.0,.833,1.0,3.7,4.7,4.7,0.3,0.0,2.7,2.3
2008-2009 NBA NBA Summer League Stats,Javaris Crittenton,MEM,3,29.4,8.7,2.7,5.7,.471,0.0,0.3,.000,3.3,4.0,.833,2.0,2.3,4.3,3.7,0.0,0.0,3.3,3.7
2008-2009 NBA NBA Summer League Stats,Roger Powell,SAS,3,19.0,8.7,3.0,7.0,.429,0.7,2.7,.250,2.0,3.3,.600,0.3,3.0,3.3,0.0,0.3,0.3,0.7,0.3
2008-2009 NBA NBA Summer League Stats,Shan Foster,DAL,5,19.5,8.6,3.6,7.4,.486,0.6,2.0,.300,0.8,0.8,1.000,0.6,2.0,2.6,1.8,0.2,0.0,1.6,1.2
2008-2009 NBA NBA Summer League Stats,JaVale McGee,WAS,5,19.6,8.4,3.6,8.6,.419,0.2,0.8,.250,1.0,2.2,.455,1.8,2.8,4.6,0.2,0.6,1.6,1.8,2.8
2008-2009 NBA NBA Summer League Stats,Sharrod Ford,LAL,5,20.1,8.4,3.2,6.8,.471,0.0,0.0,.000,2.0,3.6,.556,2.2,2.2,4.4,0.4,0.0,0.6,2.8,4.0
2008-2009 NBA NBA Summer League Stats,Malik Hairston,SAS,3,20.8,8.3,4.0,7.0,.571,0.0,0.3,.000,0.3,1.3,.250,0.7,1.7,2.3,1.0,0.7,0.3,1.7,1.7
2008-2009 NBA NBA Summer League Stats,Mike Hall,DEN,5,21.0,8.2,2.8,8.0,.350,1.2,3.4,.353,1.4,1.4,1.000,1.4,3.2,4.6,0.6,0.4,0.4,1.0,2.8
2008-2009 NBA NBA Summer League Stats,Reyshawn Terry,DAL,5,18.3,8.0,2.4,5.6,.429,0.4,0.8,.500,2.8,4.8,.583,0.4,5.0,5.4,0.8,0.0,0.4,1.0,2.6
2008-2009 NBA NBA Summer League Stats,Bryant Dunston,LAL,4,22.3,8.0,2.8,5.0,.550,0.0,0.0,.000,2.5,3.3,.769,1.5,2.3,3.8,0.5,0.5,1.5,1.0,3.8
2008-2009 NBA NBA Summer League Stats,Matt Lojeski,MIL,5,15.7,8.0,2.8,4.8,.583,0.8,1.8,.444,1.6,2.4,.667,0.4,1.0,1.4,0.6,0.6,0.2,1.0,2.0
2008-2009 NBA NBA Summer League Stats,Marquinhos Vinicius,PHX,3,24.5,8.0,2.7,5.7,.471,1.0,2.7,.375,1.7,2.0,.833,0.3,4.7,5.0,0.3,0.7,0.0,2.3,3.0
2008-2009 NBA NBA Summer League Stats,Richard Hendrix,GSW,1,15.3,8.0,3.0,8.0,.375,0.0,0.0,.000,2.0,4.0,.500,6.0,4.0,10.0,0.0,2.0,2.0,2.0,5.0
2008-2009 NBA NBA Summer League Stats,Davon Jefferson,LAL,2,15.1,8.0,3.0,5.5,.545,0.0,0.0,.000,2.0,2.5,.800,1.5,1.0,2.5,0.0,0.5,1.0,2.0,2.5
2008-2009 NBA NBA Summer League Stats,Jamaal Tatum,SAS,1,17.9,8.0,2.0,5.0,.400,0.0,1.0,.000,4.0,6.0,.667,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0
2008-2009 NBA NBA Summer League Stats,Derrick Byars,NOP,5,18.5,7.8,3.2,7.2,.444,1.0,2.2,.455,0.4,0.4,1.000,1.4,1.8,3.2,0.8,0.6,0.0,1.0,1.4
2008-2009 NBA NBA Summer League Stats,Von Wafer,NYK,5,21.6,7.8,2.2,5.8,.379,1.4,3.0,.467,2.0,3.0,.667,0.0,1.6,1.6,0.2,0.0,0.2,0.6,1.4
2008-2009 NBA NBA Summer League Stats,DeAndre Jordan,LAC,4,25.8,7.8,3.3,5.3,.619,0.0,0.0,.000,1.3,3.0,.417,3.0,4.8,7.8,0.8,0.0,1.3,2.0,4.0
2008-2009 NBA NBA Summer League Stats,C.J. Wallace,PHX,4,24.6,7.8,2.8,6.5,.423,1.0,3.0,.333,1.3,2.5,.500,2.8,3.8,6.5,0.3,1.3,0.3,2.5,4.0
2008-2009 NBA NBA Summer League Stats,Curtis Sumpter,DEN,4,15.2,7.8,3.0,6.0,.500,0.3,0.8,.333,1.5,2.0,.750,1.0,2.8,3.8,0.5,0.5,0.5,1.5,3.0
2008-2009 NBA NBA Summer League Stats,Nathan Jawai,TOR,3,20.4,7.7,2.7,6.0,.444,0.0,0.0,.000,2.3,4.7,.500,2.3,2.7,5.0,0.3,0.3,1.0,2.7,3.7
2008-2009 NBA NBA Summer League Stats,Kyle Visser,CHA,3,17.7,7.7,3.7,7.3,.500,0.0,0.0,.000,0.3,2.3,.143,1.0,2.3,3.3,0.0,0.3,0.3,1.0,2.3
2008-2009 NBA NBA Summer League Stats,JaJuan Smith,DAL,5,10.7,7.6,2.6,5.4,.481,1.4,3.0,.467,1.0,1.2,.833,0.4,0.4,0.8,1.0,0.4,0.2,0.2,1.6
2008-2009 NBA NBA Summer League Stats,Bryce Taylor,MIN,5,21.1,7.4,2.8,6.0,.467,1.4,2.6,.538,0.4,0.6,.667,1.4,1.4,2.8,1.0,0.0,0.2,0.6,2.2
2008-2009 NBA NBA Summer League Stats,Deji Akindele,TOR,5,17.0,7.4,2.8,5.4,.519,0.0,0.0,.000,1.8,2.2,.818,1.6,3.6,5.2,0.2,0.4,1.2,2.0,5.8
2008-2009 NBA NBA Summer League Stats,Coleman Collins,TOR,3,17.1,7.3,3.0,7.0,.429,0.0,0.3,.000,1.3,2.0,.667,1.7,2.0,3.7,1.0,0.3,0.3,0.3,2.3
2008-2009 NBA NBA Summer League Stats,Drew Neitzel,MIN,5,16.7,7.2,3.0,6.0,.500,0.8,2.4,.333,0.4,0.4,1.000,0.4,1.4,1.8,0.6,0.2,0.0,1.4,1.6
2008-2009 NBA NBA Summer League Stats,Desmon Farmer,TOR,5,14.8,7.2,2.6,5.0,.520,1.0,2.6,.385,1.0,1.6,.625,0.2,1.2,1.4,0.6,0.2,0.0,1.0,2.4
2008-2009 NBA NBA Summer League Stats,Brandon Bowman,NOP,6,16.5,7.0,2.2,5.0,.433,0.3,0.8,.400,2.3,3.7,.636,2.0,2.7,4.7,0.2,0.7,0.5,1.0,0.8
2008-2009 NBA NBA Summer League Stats,Josh Davis,POR,5,19.7,7.0,2.8,6.4,.438,0.2,1.6,.125,1.2,1.2,1.000,2.2,2.4,4.6,0.0,0.4,0.6,1.0,2.8
2008-2009 NBA NBA Summer League Stats,Kyle Hines,CHA,5,12.0,7.0,2.6,4.8,.542,0.0,0.0,.000,1.8,3.6,.500,1.8,2.4,4.2,0.0,0.2,0.4,1.6,3.2
2008-2009 NBA NBA Summer League Stats,Roderick Wilmont,MIL,4,16.7,7.0,1.8,5.0,.350,0.3,1.5,.167,3.3,4.5,.722,0.5,1.0,1.5,0.5,0.5,0.0,1.5,1.8
2008-2009 NBA NBA Summer League Stats,Nicolas Batum,POR,5,27.1,6.8,2.4,7.0,.343,0.2,1.8,.111,1.8,3.2,.563,2.0,2.6,4.6,1.0,0.2,0.4,3.4,3.8
2008-2009 NBA NBA Summer League Stats,Marcus Slaughter,CHA,4,14.2,6.8,2.8,4.8,.579,0.0,0.0,.000,1.3,1.8,.714,1.0,2.5,3.5,0.5,0.8,0.0,1.5,1.5
2008-2009 NBA NBA Summer League Stats,Jawad Williams,CLE,4,18.8,6.8,2.0,7.0,.286,1.0,2.3,.444,1.8,2.5,.700,1.8,1.0,2.8,0.5,0.3,0.3,0.5,2.0
2008-2009 NBA NBA Summer League Stats,Dwayne Mitchell,LAL,6,15.0,6.7,2.2,3.5,.619,0.0,0.2,.000,2.3,4.3,.538,0.2,1.3,1.5,1.0,0.8,0.2,1.7,1.2
2008-2009 NBA NBA Summer League Stats,Tamar Slay,GSW,3,18.1,6.7,3.0,6.7,.450,0.0,0.7,.000,0.7,0.7,1.000,0.7,2.0,2.7,1.7,1.7,0.0,1.7,3.7
2008-2009 NBA NBA Summer League Stats,Malick Badiane,MEM,3,20.6,6.7,2.3,5.0,.467,0.0,0.0,.000,2.0,2.7,.750,0.7,4.3,5.0,0.0,0.3,0.0,1.3,5.7
2008-2009 NBA NBA Summer League Stats,Guillermo Diaz,CHA,5,15.4,6.6,2.2,5.0,.440,0.2,1.0,.200,2.0,2.2,.909,1.0,0.8,1.8,0.6,0.2,0.0,1.4,0.8
2008-2009 NBA NBA Summer League Stats,Larry Owens,NOP,6,16.4,6.5,2.5,4.8,.517,0.3,0.8,.400,1.2,2.3,.500,2.3,1.5,3.8,0.3,0.5,0.3,1.3,2.5
2008-2009 NBA NBA Summer League Stats,Othello Hunter,CHA,2,10.6,6.5,3.0,4.5,.667,0.0,0.0,.000,0.5,1.0,.500,0.5,0.0,0.5,0.0,0.0,0.0,0.5,2.0
2008-2009 NBA NBA Summer League Stats,Pape Sow,DAL,5,19.9,6.4,2.2,4.4,.500,0.0,0.0,.000,2.0,3.0,.667,2.0,3.2,5.2,1.0,1.0,0.6,2.4,5.0
2008-2009 NBA NBA Summer League Stats,Junior Harrington,PHI,5,21.5,6.4,2.0,4.4,.455,0.0,0.8,.000,2.4,3.2,.750,0.4,1.6,2.0,3.4,1.2,0.0,2.8,2.8
2008-2009 NBA NBA Summer League Stats,Taurean Green,DEN,5,21.2,6.4,1.4,6.0,.233,0.6,2.2,.273,3.0,3.6,.833,0.2,1.6,1.8,1.6,0.8,0.0,2.0,1.8
2008-2009 NBA NBA Summer League Stats,Olumide Oyedeji,MIL,3,19.1,6.3,2.3,4.0,.583,0.0,0.0,.000,1.7,3.3,.500,2.3,4.3,6.7,0.3,0.3,0.0,0.3,4.3
2008-2009 NBA NBA Summer League Stats,Lou Amundson,GSW,5,17.6,6.2,2.6,5.2,.500,0.0,0.2,.000,1.0,1.8,.556,2.0,3.4,5.4,0.2,0.2,1.0,1.2,4.0
2008-2009 NBA NBA Summer League Stats,Deron Washington,DET,5,22.0,6.2,2.4,4.4,.545,0.2,0.2,1.000,1.2,2.0,.600,0.6,2.4,3.0,0.6,1.0,0.2,1.2,3.2
2008-2009 NBA NBA Summer League Stats,Kyle Weaver,CHA,5,17.4,6.2,2.2,4.8,.458,0.6,1.2,.500,1.2,1.4,.857,0.6,1.8,2.4,1.2,0.8,0.2,1.6,2.2
2008-2009 NBA NBA Summer League Stats,Chris Richard,MIN,5,22.5,6.2,2.8,5.2,.538,0.0,0.0,.000,0.6,2.0,.300,1.2,3.4,4.6,0.8,0.2,0.2,1.4,5.0
2008-2009 NBA NBA Summer League Stats,Bernard Robinson,POR,5,21.7,6.0,1.8,4.2,.429,0.0,0.0,.000,2.4,3.0,.800,1.4,4.8,6.2,1.6,0.4,0.2,1.4,2.8
2008-2009 NBA NBA Summer League Stats,Renaldo Balkman,NYK,2,22.4,6.0,2.0,3.5,.571,0.0,0.0,.000,2.0,4.0,.500,1.0,4.5,5.5,0.0,0.0,1.5,0.0,2.0
2008-2009 NBA NBA Summer League Stats,Richie Frahm,DAL,4,17.6,6.0,2.0,5.3,.381,1.3,2.3,.556,0.8,0.8,1.000,0.0,2.3,2.3,0.3,0.3,0.3,0.5,1.3
2008-2009 NBA NBA Summer League Stats,Steve Burtt,MEM,2,10.0,6.0,2.5,3.0,.833,0.5,0.5,1.000,0.5,2.0,.250,0.5,1.0,1.5,2.5,0.0,0.0,0.5,1.0
2008-2009 NBA NBA Summer League Stats,Mike Green,CLE,3,22.0,6.0,2.0,7.7,.261,0.0,1.0,.000,2.0,3.3,.600,1.3,2.0,3.3,3.0,0.3,0.3,1.0,2.0
2008-2009 NBA NBA Summer League Stats,Vladimir Golubovic,PHX,4,13.9,6.0,2.3,4.8,.474,0.0,0.0,.000,1.5,2.5,.600,1.0,1.8,2.8,0.3,0.3,0.0,1.0,1.8
2008-2009 NBA NBA Summer League Stats,Michael Cuffee,SAS,2,16.1,6.0,2.0,4.0,.500,0.5,0.5,1.000,1.5,1.5,1.000,0.5,1.0,1.5,1.5,0.5,0.0,1.5,3.0
2008-2009 NBA NBA Summer League Stats,Brian Morrison,SAS,3,14.0,6.0,2.7,7.0,.381,0.0,0.0,.000,0.7,1.3,.500,0.7,0.7,1.3,1.3,0.3,0.0,2.0,1.7
2008-2009 NBA NBA Summer League Stats,Sean Singletary,SAC,5,32.2,5.8,1.6,6.0,.267,0.2,1.6,.125,2.4,3.0,.800,1.0,3.8,4.8,4.4,1.4,0.2,3.2,4.8
2008-2009 NBA NBA Summer League Stats,DeMarcus Nelson,GSW,5,12.0,5.8,2.4,4.4,.545,0.0,0.4,.000,1.0,2.4,.417,0.4,0.8,1.2,1.2,0.6,0.2,1.6,2.2
2008-2009 NBA NBA Summer League Stats,Aaron McGhee,MIL,4,12.0,5.8,1.3,3.0,.417,0.0,0.0,.000,3.3,4.3,.765,0.5,1.5,2.0,0.3,0.0,0.5,1.3,3.0
2008-2009 NBA NBA Summer League Stats,Jaycee Carroll,TOR,4,12.1,5.8,2.3,5.0,.450,0.5,1.5,.333,0.8,1.3,.600,0.8,1.0,1.8,0.0,0.8,0.0,1.5,2.3
2008-2009 NBA NBA Summer League Stats,Taj Gray,LAL,6,16.3,5.7,2.0,4.7,.429,0.0,0.2,.000,1.7,2.0,.833,1.2,2.7,3.8,0.2,0.2,1.0,0.8,3.0
2008-2009 NBA NBA Summer League Stats,Ebi Ere,MEM,3,11.8,5.7,1.7,3.7,.455,0.7,2.0,.333,1.7,3.3,.500,0.0,1.7,1.7,1.0,0.0,0.0,1.0,1.0
2008-2009 NBA NBA Summer League Stats,Justin Hawkins,SAC,5,19.7,5.6,1.4,4.4,.318,0.8,1.8,.444,2.0,3.4,.588,1.0,1.2,2.2,0.2,0.0,0.4,1.8,2.2
2008-2009 NBA NBA Summer League Stats,Darnell Jackson,CLE,4,24.5,5.5,2.0,4.8,.421,0.0,0.0,.000,1.5,2.8,.545,1.5,4.0,5.5,0.5,0.3,0.5,2.5,5.0
2008-2009 NBA NBA Summer League Stats,Dee Brown,WAS,5,25.1,5.4,2.2,4.4,.500,0.6,1.4,.429,0.4,0.4,1.000,0.4,1.4,1.8,2.4,1.2,0.2,3.0,2.8
2008-2009 NBA NBA Summer League Stats,Trey Johnson,MIL,5,11.0,5.4,1.8,4.0,.450,0.4,1.2,.333,1.4,1.4,1.000,0.6,1.2,1.8,0.4,0.4,0.0,0.8,1.6
2008-2009 NBA NBA Summer League Stats,Cedric Bozeman,LAL,5,20.9,5.4,2.4,4.8,.500,0.2,0.6,.333,0.4,0.6,.667,1.0,2.0,3.0,1.2,0.4,0.0,2.0,2.6
